step,epoch,train_loss_step,lr-Adam,val_loss,train_loss_epoch,test_loss
2431,37,,,,0.25473594665527344,
2432,,,0.001,,,
2449,,,0.001,,,
2449,38,0.24715594947338104,,,,
2495,38,,,0.05079903081059456,,
2495,38,,,,0.2500418722629547,
2496,,,0.001,,,
2499,,,0.001,,,
2499,39,0.1983645260334015,,,,
2549,,,0.001,,,
2549,39,0.1672772765159607,,,,
2559,39,,,0.05119244009256363,,
2559,39,,,,0.250389039516449,
2560,,,0.001,,,
2599,,,0.001,,,
2599,40,0.25691330432891846,,,,
2623,40,,,0.05122757703065872,,
2623,40,,,,0.2507001459598541,
2624,,,0.001,,,
2649,,,0.001,,,
2649,41,0.2439383864402771,,,,
2687,41,,,0.05140835791826248,,
2687,41,,,,0.25102171301841736,
2688,,,0.001,,,
2699,,,0.001,,,
2699,42,0.22393640875816345,,,,
2749,,,0.001,,,
2749,42,0.3165959119796753,,,,
2751,42,,,0.05068792402744293,,
2751,42,,,,0.2516009509563446,
2752,,,0.001,,,
2799,,,0.001,,,
2799,43,0.326248437166214,,,,
2815,43,,,0.04973815754055977,,
2815,43,,,,0.24977390468120575,
2816,,,0.001,,,
2849,,,0.001,,,
2849,44,0.1283997893333435,,,,
2879,44,,,0.05098449066281319,,
2879,44,,,,0.24975380301475525,
2880,,,0.001,,,
2899,,,0.001,,,
2899,45,0.21325388550758362,,,,
2943,45,,,0.050096362829208374,,
2943,45,,,,0.25161507725715637,
2944,,,0.001,,,
2949,,,0.001,,,
2949,46,0.2623354494571686,,,,
2999,,,0.001,,,
2999,46,0.24604277312755585,,,,
3007,46,,,0.051057055592536926,,
3007,46,,,,0.25002041459083557,
3008,,,0.001,,,
3049,,,0.001,,,
3049,47,0.3605959415435791,,,,
3071,47,,,0.054191723465919495,,
3071,47,,,,0.24827218055725098,
3072,,,0.001,,,
3099,,,0.001,,,
3099,48,0.2285289615392685,,,,
3135,48,,,0.049881212413311005,,
3135,48,,,,0.24948400259017944,
3136,,,0.001,,,
3149,,,0.001,,,
3149,49,0.2839381694793701,,,,
3199,,,0.001,,,
3199,49,0.2647978961467743,,,,
3199,49,,,0.04972275719046593,,
3199,49,,,,0.24768011271953583,
3200,,,0.001,,,
3249,,,0.001,,,
3249,50,0.20334400236606598,,,,
3263,50,,,0.04900841414928436,,
3263,50,,,,0.2465367168188095,
3264,,,0.001,,,
3299,,,0.001,,,
3299,51,0.3146566152572632,,,,
3327,51,,,0.050577312707901,,
3327,51,,,,0.24741938710212708,
3328,,,0.001,,,
3349,,,0.001,,,
3349,52,0.266893595457077,,,,
3391,52,,,0.04908771440386772,,
3391,52,,,,0.24738557636737823,
3392,,,0.001,,,
3399,,,0.001,,,
3399,53,0.2928066849708557,,,,
3449,,,0.001,,,
3449,53,0.1640353500843048,,,,
3455,53,,,0.049114011228084564,,
3455,53,,,,0.24758782982826233,
3456,,,0.001,,,
3499,,,0.001,,,
3499,54,0.3059617877006531,,,,
3519,54,,,0.05081600323319435,,
3519,54,,,,0.24665148556232452,
3520,,,0.001,,,
3549,,,0.001,,,
3549,55,0.2004116177558899,,,,
3583,55,,,0.04875722527503967,,
3583,55,,,,0.24567033350467682,
3584,,,0.001,,,
3599,,,0.001,,,
3599,56,0.22398924827575684,,,,
3647,56,,,0.0485190711915493,,
3647,56,,,,0.24815039336681366,
3648,,,0.001,,,
3649,,,0.001,,,
3649,57,0.2120419144630432,,,,
3699,,,0.001,,,
3699,57,0.375216007232666,,,,
3711,57,,,0.05094195902347565,,
3711,57,,,,0.24375155568122864,
3712,,,0.001,,,
3749,,,0.001,,,
3749,58,0.27291449904441833,,,,
3775,58,,,0.04874715581536293,,
3775,58,,,,0.24464136362075806,
3776,,,0.001,,,
3799,,,0.001,,,
3799,59,0.24497924745082855,,,,
3839,59,,,0.047102443873882294,,
3839,59,,,,0.24587897956371307,
3840,,,0.001,,,
3849,,,0.001,,,
3849,60,0.2970278859138489,,,,
3899,,,0.001,,,
3899,60,0.26651498675346375,,,,
3903,60,,,0.04853055998682976,,
3903,60,,,,0.2444678097963333,
3904,,,0.001,,,
3949,,,0.001,,,
3949,61,0.2595830261707306,,,,
3967,61,,,0.05143299326300621,,
3967,61,,,,0.24522486329078674,
3968,,,0.001,,,
3999,,,0.001,,,
3999,62,0.283979594707489,,,,
4031,62,,,0.04916200414299965,,
4031,62,,,,0.24605125188827515,
4032,,,0.001,,,
4049,,,0.001,,,
4049,63,0.20226891338825226,,,,
4095,63,,,0.05442297086119652,,
4095,63,,,,0.2447390854358673,
4096,,,0.001,,,
4099,,,0.001,,,
4099,64,0.1810167282819748,,,,
4149,,,0.001,,,
4149,64,0.279954731464386,,,,
4159,64,,,0.049746766686439514,,
4159,64,,,,0.2468203604221344,
4160,,,0.001,,,
4199,,,0.001,,,
4199,65,0.32044023275375366,,,,
4223,65,,,0.0467209629714489,,
4223,65,,,,0.24513408541679382,
4224,,,0.001,,,
4249,,,0.001,,,
4249,66,0.2524171471595764,,,,
4287,66,,,0.046657100319862366,,
4287,66,,,,0.24248117208480835,
4288,,,0.001,,,
4299,,,0.001,,,
4299,67,0.30460911989212036,,,,
4349,,,0.001,,,
4349,67,0.2123565375804901,,,,
4351,67,,,0.04779297858476639,,
4351,67,,,,0.2436320185661316,
4352,,,0.001,,,
4399,,,0.001,,,
4399,68,0.3378526568412781,,,,
4415,68,,,0.047525860369205475,,
4415,68,,,,0.24477429687976837,
4416,,,0.001,,,
4449,,,0.001,,,
4449,69,0.2567701041698456,,,,
4479,69,,,0.0477772019803524,,
4479,69,,,,0.2456042617559433,
4480,,,0.001,,,
4499,,,0.001,,,
4499,70,0.20342350006103516,,,,
4543,70,,,0.046711113303899765,,
4543,70,,,,0.24310089647769928,
4544,,,0.001,,,
4549,,,0.001,,,
4549,71,0.20090708136558533,,,,
4599,,,0.001,,,
4599,71,0.18971875309944153,,,,
4607,71,,,0.04930351674556732,,
4607,71,,,,0.24530629813671112,
4608,,,0.001,,,
4649,,,0.001,,,
4649,72,0.2951405942440033,,,,
4671,72,,,0.047017402946949005,,
4671,72,,,,0.24390675127506256,
4672,,,0.001,,,
4699,,,0.001,,,
4699,73,0.1837109625339508,,,,
4735,73,,,0.046046845614910126,,
4735,73,,,,0.24142292141914368,
4736,,,0.001,,,
4749,,,0.001,,,
4749,74,0.2131129801273346,,,,
4799,,,0.001,,,
4799,74,0.2283424586057663,,,,
4799,74,,,0.04536213353276253,,
4799,74,,,,0.24389569461345673,
4800,,,0.001,,,
4849,,,0.001,,,
4849,75,0.22213803231716156,,,,
4863,75,,,0.04493572190403938,,
4863,75,,,,0.24144162237644196,
4864,,,0.001,,,
4899,,,0.001,,,
4899,76,0.2501900792121887,,,,
4927,76,,,0.044082727283239365,,
4927,76,,,,0.24056455492973328,
4928,,,0.001,,,
4949,,,0.001,,,
4949,77,0.17193704843521118,,,,
4991,77,,,0.04433383047580719,,
4991,77,,,,0.24225129187107086,
4992,,,0.001,,,
4999,,,0.001,,,
4999,78,0.23569512367248535,,,,
5049,,,0.001,,,
5049,78,0.2247452735900879,,,,
5055,78,,,0.043466292321681976,,
5055,78,,,,0.24238745868206024,
