step,epoch,lr-Adam,train_loss_step,val_loss,train_loss_epoch,test_loss
2431,37,,,,0.2687082886695862,
2432,,0.001,,,,
2449,,0.001,,,,
2449,38,,0.2627701163291931,,,
2495,38,,,0.0654604434967041,,
2495,38,,,,0.2644190192222595,
2496,,0.001,,,,
2499,,0.001,,,,
2499,39,,0.2137264609336853,,,
2549,,0.001,,,,
2549,39,,0.17758241295814514,,,
2559,39,,,0.06386241316795349,,
2559,39,,,,0.2664022445678711,
2560,,0.001,,,,
2599,,0.001,,,,
2599,40,,0.2864454984664917,,,
2623,40,,,0.0607975609600544,,
2623,40,,,,0.266658753156662,
2624,,0.001,,,,
2649,,0.001,,,,
2649,41,,0.2555136978626251,,,
2687,41,,,0.05937313660979271,,
2687,41,,,,0.26444950699806213,
2688,,0.001,,,,
2699,,0.001,,,,
2699,42,,0.23770703375339508,,,
2749,,0.001,,,,
2749,42,,0.31411492824554443,,,
2751,42,,,0.05863410606980324,,
2751,42,,,,0.26362016797065735,
2752,,0.001,,,,
2799,,0.001,,,,
2799,43,,0.3498823046684265,,,
2815,43,,,0.05693543329834938,,
2815,43,,,,0.26291197538375854,
2816,,0.001,,,,
2849,,0.001,,,,
2849,44,,0.13774006068706512,,,
2879,44,,,0.05596425384283066,,
2879,44,,,,0.2602418065071106,
2880,,0.001,,,,
2899,,0.001,,,,
2899,45,,0.22595807909965515,,,
2943,45,,,0.06348106265068054,,
2943,45,,,,0.262319415807724,
2944,,0.001,,,,
2949,,0.001,,,,
2949,46,,0.2716623544692993,,,
2999,,0.001,,,,
2999,46,,0.2606246769428253,,,
3007,46,,,0.056069884449243546,,
3007,46,,,,0.2603008449077606,
3008,,0.001,,,,
3049,,0.001,,,,
3049,47,,0.3698427677154541,,,
3071,47,,,0.05779358372092247,,
3071,47,,,,0.2575393617153168,
3072,,0.001,,,,
3099,,0.001,,,,
3099,48,,0.23143631219863892,,,
3135,48,,,0.0566825196146965,,
3135,48,,,,0.25816813111305237,
3136,,0.001,,,,
3149,,0.001,,,,
3149,49,,0.2960907816886902,,,
3199,,0.001,,,,
3199,49,,0.2759366035461426,,,
3199,49,,,0.0540139377117157,,
3199,49,,,,0.2563905715942383,
3200,,0.001,,,,
3249,,0.001,,,,
3249,50,,0.2100386619567871,,,
3263,50,,,0.057146765291690826,,
3263,50,,,,0.25614580512046814,
3264,,0.001,,,,
3299,,0.001,,,,
3299,51,,0.3229951560497284,,,
3327,51,,,0.05486975610256195,,
3327,51,,,,0.2555283308029175,
3328,,0.001,,,,
3349,,0.001,,,,
3349,52,,0.27380621433258057,,,
3391,52,,,0.05672040209174156,,
