step,train_loss_step,lr-AdamW,epoch,val_loss,train_loss_epoch,test_loss
2431,,,37,,0.25317153334617615,
2432,,0.001,,,,
2449,,0.001,,,,
2449,0.2971007823944092,,38,,,
2495,,,38,0.0538673996925354,,
2495,,,38,,0.25107771158218384,
2496,,0.001,,,,
2499,,0.001,,,,
2499,0.25737494230270386,,39,,,
2549,,0.001,,,,
2549,0.24711745977401733,,39,,,
2559,,,39,0.051409147679805756,,
2559,,,39,,0.25079718232154846,
2560,,0.001,,,,
2599,,0.001,,,,
2599,0.16521257162094116,,40,,,
2623,,,40,0.050442904233932495,,
2623,,,40,,0.2499256134033203,
2624,,0.001,,,,
2649,,0.001,,,,
2649,0.19054551422595978,,41,,,
2687,,,41,0.048648394644260406,,
2687,,,41,,0.24871613085269928,
2688,,0.001,,,,
2699,,0.001,,,,
2699,0.24950623512268066,,42,,,
2749,,0.001,,,,
2749,0.22920213639736176,,42,,,
2751,,,42,0.057286106050014496,,
2751,,,42,,0.24744723737239838,
2752,,0.001,,,,
2799,,0.001,,,,
2799,0.29388922452926636,,43,,,
2815,,,43,0.049379706382751465,,
2815,,,43,,0.24934297800064087,
2816,,0.001,,,,
2849,,0.001,,,,
2849,0.271697461605072,,44,,,
2879,,,44,0.048360567539930344,,
2879,,,44,,0.24911542236804962,
2880,,0.001,,,,
2899,,0.001,,,,
2899,0.22707781195640564,,45,,,
2943,,,45,0.04807833954691887,,
2943,,,45,,0.2475643754005432,
2944,,0.001,,,,
2949,,0.001,,,,
2949,0.33556902408599854,,46,,,
2999,,0.001,,,,
2999,0.21303990483283997,,46,,,
3007,,,46,0.047268498688936234,,
3007,,,46,,0.24546822905540466,
3008,,0.001,,,,
3049,,0.001,,,,
3049,0.33992522954940796,,47,,,
3071,,,47,0.05001058802008629,,
3071,,,47,,0.24649879336357117,
3072,,0.001,,,,
3099,,0.001,,,,
3099,0.25247400999069214,,48,,,
3135,,,48,0.04804696515202522,,
3135,,,48,,0.24668322503566742,
3136,,0.001,,,,
3149,,0.001,,,,
3149,0.24012704193592072,,49,,,
3199,,0.001,,,,
3199,0.17055493593215942,,49,,,
3199,,,49,0.047557275742292404,,
3199,,,49,,0.24608296155929565,
3200,,0.001,,,,
3249,,0.001,,,,
3249,0.26359495520591736,,50,,,
3263,,,50,0.04684511199593544,,
3263,,,50,,0.24638408422470093,
3264,,0.001,,,,
3299,,0.001,,,,
3299,0.21944117546081543,,51,,,
3327,,,51,0.04802611842751503,,
3327,,,51,,0.2454783022403717,
3328,,0.001,,,,
3349,,0.001,,,,
3349,0.26026418805122375,,52,,,
3391,,,52,0.047079384326934814,,
3391,,,52,,0.24542176723480225,
3392,,0.001,,,,
3399,,0.001,,,,
3399,0.249076247215271,,53,,,
3449,,0.001,,,,
3449,0.3259766697883606,,53,,,
3455,,,53,0.04847242683172226,,
3455,,,53,,0.24452215433120728,
3456,,0.001,,,,
3499,,0.001,,,,
3499,0.25693583488464355,,54,,,
3519,,,54,0.046424757689237595,,
3519,,,54,,0.24486681818962097,
3520,,0.001,,,,
3549,,0.001,,,,
3549,0.20264844596385956,,55,,,
3583,,,55,0.0464615635573864,,
3583,,,55,,0.24597445130348206,
3584,,0.001,,,,
3599,,0.001,,,,
3599,0.23671039938926697,,56,,,
3647,,,56,0.04576975479722023,,
3647,,,56,,0.24286942183971405,
3648,,0.001,,,,
3649,,0.001,,,,
3649,0.31187885999679565,,57,,,
3699,,0.001,,,,
3699,0.26108139753341675,,57,,,
3711,,,57,0.04894828051328659,,
3711,,,57,,0.2435683012008667,
3712,,0.001,,,,
3749,,0.001,,,,
3749,0.2303125560283661,,58,,,
3775,,,58,0.04639963433146477,,
3775,,,58,,0.24447622895240784,
3776,,0.001,,,,
3799,,0.001,,,,
3799,0.2236969769001007,,59,,,
3839,,,59,0.0455348938703537,,
3839,,,59,,0.24297372996807098,
3840,,0.001,,,,
3849,,0.001,,,,
3849,0.19767414033412933,,60,,,
3899,,0.001,,,,
3899,0.1520092487335205,,60,,,
3903,,,60,0.04605816304683685,,
3903,,,60,,0.2430781126022339,
3904,,0.001,,,,
3949,,0.001,,,,
3949,0.20070359110832214,,61,,,
3967,,,61,0.04886262118816376,,
3967,,,61,,0.24316535890102386,
3968,,0.001,,,,
3999,,0.001,,,,
3999,0.29563894867897034,,62,,,
4031,,,62,0.04594946280121803,,
4031,,,62,,0.24327890574932098,
4032,,0.001,,,,
4049,,0.001,,,,
4049,0.2368258237838745,,63,,,
4095,,,63,0.05027734488248825,,
4095,,,63,,0.24230654537677765,
4096,,0.001,,,,
4099,,0.001,,,,
4099,0.1915847510099411,,64,,,
4149,,0.001,,,,
4149,0.3210783302783966,,64,,,
4159,,,64,0.04644346982240677,,
4159,,,64,,0.243620365858078,
4160,,0.001,,,,
4199,,0.001,,,,
4199,0.28748592734336853,,65,,,
4223,,,65,0.047041263431310654,,
4223,,,65,,0.24322029948234558,
4224,,0.001,,,,
4249,,0.001,,,,
4249,0.18033961951732635,,66,,,
4287,,,66,0.04539114981889725,,
4287,,,66,,0.24312780797481537,
4288,,0.001,,,,
4299,,0.001,,,,
4299,0.2507200837135315,,67,,,
4349,,0.001,,,,
4349,0.23781302571296692,,67,,,
4351,,,67,0.04636632651090622,,
4351,,,67,,0.24542413651943207,
4352,,0.001,,,,
4399,,0.001,,,,
4399,0.2760336399078369,,68,,,
4415,,,68,0.046515222638845444,,
4415,,,68,,0.24245713651180267,
4416,,0.001,,,,
4449,,0.001,,,,
4449,0.26171430945396423,,69,,,
4479,,,69,0.0455542653799057,,
4479,,,69,,0.24164727330207825,
4480,,0.001,,,,
4499,,0.001,,,,
4499,0.31321901082992554,,70,,,
4543,,,70,0.048581454902887344,,
4543,,,70,,0.24208682775497437,
4544,,0.001,,,,
4549,,0.001,,,,
4549,0.2275700718164444,,71,,,
4599,,0.001,,,,
4599,0.29283902049064636,,71,,,
4607,,,71,0.04607636481523514,,
4607,,,71,,0.24477925896644592,
4608,,0.001,,,,
4649,,0.001,,,,
4649,0.15041226148605347,,72,,,
