lr-Adam,step,train_loss_step,epoch,val_loss,train_loss_epoch
,2599,0.21749034523963928,40,,
,2623,,40,0.03125377371907234,
,2623,,40,,0.2275232970714569
0.001,2624,,,,
0.001,2649,,,,
,2649,0.23941168189048767,41,,
,2687,,41,0.03143995255231857,
,2687,,41,,0.22624734044075012
0.001,2688,,,,
0.001,2699,,,,
,2699,0.20028555393218994,42,,
0.001,2749,,,,
,2749,0.211226224899292,42,,
,2751,,42,0.030150890350341797,
,2751,,42,,0.22577118873596191
0.001,2752,,,,
0.001,2799,,,,
,2799,0.2943313717842102,43,,
,2815,,43,0.033664099872112274,
,2815,,43,,0.224636510014534
0.001,2816,,,,
0.001,2849,,,,
,2849,0.2790766656398773,44,,
,2879,,44,0.028963163495063782,
,2879,,44,,0.22628211975097656
0.001,2880,,,,
0.001,2899,,,,
,2899,0.19153213500976562,45,,
,2943,,45,0.03173268213868141,
,2943,,45,,0.22376704216003418
0.001,2944,,,,
0.001,2949,,,,
,2949,0.24811501801013947,46,,
0.001,2999,,,,
,2999,0.3587006628513336,46,,
,3007,,46,0.030554641038179398,
,3007,,46,,0.22284463047981262
0.001,3008,,,,
0.001,3049,,,,
,3049,0.22333745658397675,47,,
,3071,,47,0.030814608559012413,
,3071,,47,,0.22405436635017395
0.001,3072,,,,
0.001,3099,,,,
,3099,0.258349746465683,48,,
,3135,,48,0.030434755608439445,
,3135,,48,,0.228158637881279
0.001,3136,,,,
0.001,3149,,,,
,3149,0.19001013040542603,49,,
0.001,3199,,,,
,3199,0.3127586841583252,49,,
,3199,,49,0.030763695016503334,
,3199,,49,,0.22190849483013153
0.001,3200,,,,
0.001,3249,,,,
,3249,0.2733951807022095,50,,
,3263,,50,0.02889222279191017,
,3263,,50,,0.22299256920814514
0.001,3264,,,,
0.001,3299,,,,
,3299,0.23450127243995667,51,,
,3327,,51,0.03460681065917015,
,3327,,51,,0.2229277491569519
0.001,3328,,,,
0.001,3349,,,,
,3349,0.19202595949172974,52,,
,3391,,52,0.031086428090929985,
,3391,,52,,0.22240369021892548
0.001,3392,,,,
0.001,3399,,,,
,3399,0.20077335834503174,53,,
0.001,3449,,,,
,3449,0.24268221855163574,53,,
,3455,,53,0.02853160724043846,
,3455,,53,,0.22172069549560547
0.001,3456,,,,
0.001,3499,,,,
,3499,0.19877171516418457,54,,
,3519,,54,0.028330273926258087,
,3519,,54,,0.22050310671329498
0.001,3520,,,,
0.001,3549,,,,
,3549,0.20718100666999817,55,,
,3583,,55,0.02754923142492771,
,3583,,55,,0.2202226221561432
0.001,3584,,,,
0.001,3599,,,,
,3599,0.17846810817718506,56,,
,3647,,56,0.02960781566798687,
,3647,,56,,0.22012415528297424
0.001,3648,,,,
0.001,3649,,,,
,3649,0.22948773205280304,57,,
0.001,3699,,,,
,3699,0.2323673963546753,57,,
,3711,,57,0.03228149935603142,
,3711,,57,,0.22177031636238098
0.001,3712,,,,
0.001,3749,,,,
,3749,0.18869268894195557,58,,
,3775,,58,0.029093062505126,
,3775,,58,,0.22153827548027039
0.001,3776,,,,
0.001,3799,,,,
,3799,0.22406576573848724,59,,
,3839,,59,0.026572519913315773,
,3839,,59,,0.21832656860351562
0.001,3840,,,,
0.001,3849,,,,
,3849,0.18789760768413544,60,,
0.001,3899,,,,
,3899,0.12623748183250427,60,,
,3903,,60,0.02750851958990097,
,3903,,60,,0.21675175428390503
0.001,3904,,,,
0.001,3949,,,,
,3949,0.24324722588062286,61,,
,3967,,61,0.02645581029355526,
,3967,,61,,0.21806302666664124
0.001,3968,,,,
0.001,3999,,,,
,3999,0.3002912104129791,62,,
,4031,,62,0.029576344415545464,
,4031,,62,,0.2183721363544464
0.001,4032,,,,
0.001,4049,,,,
,4049,0.17729122936725616,63,,
,4095,,63,0.027311187237501144,
,4095,,63,,0.21734845638275146
0.001,4096,,,,
0.001,4099,,,,
,4099,0.17117536067962646,64,,
0.001,4149,,,,
,4149,0.20866435766220093,64,,
,4159,,64,0.027109738439321518,
,4159,,64,,0.22009284794330597
0.001,4160,,,,
0.001,4199,,,,
,4199,0.20517821609973907,65,,
,4223,,65,0.026254083961248398,
,4223,,65,,0.21666739881038666
0.001,4224,,,,
0.001,4249,,,,
,4249,0.2363155335187912,66,,
,4287,,66,0.030864447355270386,
,4287,,66,,0.2186029702425003
0.001,4288,,,,
0.001,4299,,,,
,4299,0.22921854257583618,67,,
0.001,4349,,,,
,4349,0.2750939428806305,67,,
,4351,,67,0.03043176792562008,
,4351,,67,,0.21778558194637299
0.001,4352,,,,
0.001,4399,,,,
,4399,0.2343617081642151,68,,
,4415,,68,0.027141867205500603,
,4415,,68,,0.2180340439081192
0.001,4416,,,,
0.001,4449,,,,
,4449,0.25144854187965393,69,,
,4479,,69,0.02533416636288166,
,4479,,69,,0.21702829003334045
0.001,4480,,,,
0.001,4499,,,,
,4499,0.21145743131637573,70,,
,4543,,70,0.02461816743016243,
,4543,,70,,0.2169240415096283
0.001,4544,,,,
0.001,4549,,,,
,4549,0.16127702593803406,71,,
0.001,4599,,,,
,4599,0.24576109647750854,71,,
,4607,,71,0.026759397238492966,
,4607,,71,,0.21577149629592896
0.001,4608,,,,
0.001,4649,,,,
,4649,0.2268223911523819,72,,
,4671,,72,0.026548976078629494,
,4671,,72,,0.21275867521762848
0.001,4672,,,,
0.001,4699,,,,
,4699,0.2070867419242859,73,,
,4735,,73,0.02378789708018303,
,4735,,73,,0.21583136916160583
0.001,4736,,,,
0.001,4749,,,,
,4749,0.2228684276342392,74,,
0.001,4799,,,,
,4799,0.2714359164237976,74,,
,4799,,74,0.02459191158413887,
,4799,,74,,0.21473020315170288
0.001,4800,,,,
0.001,4849,,,,
,4849,0.21331870555877686,75,,
,4863,,75,0.025254322215914726,
,4863,,75,,0.2151317447423935
0.001,4864,,,,
0.001,4899,,,,
,4899,0.18827377259731293,76,,
,4927,,76,0.022546740248799324,
,4927,,76,,0.214125856757164
0.001,4928,,,,
0.001,4949,,,,
,4949,0.19789248704910278,77,,
,4991,,77,0.023120569065213203,
,4991,,77,,0.21502090990543365
0.001,4992,,,,
0.001,4999,,,,
,4999,0.24411162734031677,78,,
0.001,5049,,,,
,5049,0.2056988775730133,78,,
,5055,,78,0.025507424026727676,
,5055,,78,,0.21519729495048523
0.001,5056,,,,
0.001,5099,,,,
,5099,0.2163866013288498,79,,
,5119,,79,0.023085549473762512,
,5119,,79,,0.21410657465457916
0.001,5120,,,,
0.001,5149,,,,
,5149,0.12168164551258087,80,,
,5183,,80,0.023823002353310585,
,5183,,80,,0.2149478942155838
0.001,5184,,,,
0.001,5199,,,,
,5199,0.22480441629886627,81,,
,5247,,81,0.024602791294455528,
,5247,,81,,0.2139301598072052
0.001,5248,,,,
0.001,5249,,,,
,5249,0.22248512506484985,82,,
0.001,5299,,,,
,5299,0.3251004219055176,82,,
,5311,,82,0.024007011204957962,
,5311,,82,,0.21351219713687897
0.001,5312,,,,
0.001,5349,,,,
,5349,0.11999712884426117,83,,
,5375,,83,0.02386252023279667,
,5375,,83,,0.21166808903217316
0.001,5376,,,,
0.001,5399,,,,
,5399,0.13509856164455414,84,,
,5439,,84,0.024186650291085243,
,5439,,84,,0.2127344161272049
0.001,5440,,,,
0.001,5449,,,,
,5449,0.18792442977428436,85,,
0.001,5499,,,,
,5499,0.19677627086639404,85,,
,5503,,85,0.023395534604787827,
,5503,,85,,0.2138499617576599
0.001,5504,,,,
0.001,5549,,,,
,5549,0.22411856055259705,86,,
,5567,,86,0.02314281091094017,
,5567,,86,,0.21380199491977692
0.001,5568,,,,
0.001,5599,,,,
,5599,0.1306547224521637,87,,
,5631,,87,0.023108672350645065,
,5631,,87,,0.21343976259231567
0.001,5632,,,,
0.001,5649,,,,
,5649,0.19988328218460083,88,,
,5695,,88,0.0228048637509346,
,5695,,88,,0.21377307176589966
0.001,5696,,,,
0.001,5699,,,,
,5699,0.22244073450565338,89,,
0.001,5749,,,,
,5749,0.13828769326210022,89,,
,5759,,89,0.02335069142282009,
,5759,,89,,0.21147817373275757
0.001,5760,,,,
0.001,5799,,,,
,5799,0.290345162153244,90,,
,5823,,90,0.025545500218868256,
,5823,,90,,0.21386659145355225
0.001,5824,,,,
0.001,5849,,,,
,5849,0.130441352725029,91,,
,5887,,91,0.023201774805784225,
,5887,,91,,0.2111096829175949
0.001,5888,,,,
0.001,5899,,,,
,5899,0.176920548081398,92,,
0.001,5949,,,,
,5949,0.2211022675037384,92,,
,5951,,92,0.02295154333114624,
,5951,,92,,0.2119883894920349
0.001,5952,,,,
0.001,5999,,,,
,5999,0.16058577597141266,93,,
,6015,,93,0.023108532652258873,
,6015,,93,,0.21306227147579193
0.001,6016,,,,
0.001,6049,,,,
,6049,0.35954025387763977,94,,
,6079,,94,0.021627824753522873,
,6079,,94,,0.21108807623386383
0.001,6080,,,,
0.001,6099,,,,
,6099,0.26286113262176514,95,,
,6143,,95,0.021155795082449913,
,6143,,95,,0.21061012148857117
0.001,6144,,,,
0.001,6149,,,,
,6149,0.15416042506694794,96,,
0.001,6199,,,,
,6199,0.25990766286849976,96,,
,6207,,96,0.02346712164580822,
,6207,,96,,0.21194016933441162
0.001,6208,,,,
0.001,6249,,,,
,6249,0.24623090028762817,97,,
,6271,,97,0.024971405044198036,
,6271,,97,,0.21748439967632294
0.001,6272,,,,
0.001,6299,,,,
