epoch,train_loss_step,lr-Adam,step,val_loss,train_loss_epoch,test_loss
37,,,2431,,0.0321158803999424,
,,0.001,2432,,,
,,0.001,2449,,,
38,0.03070901893079281,,2449,,,
38,,,2495,0.03128983825445175,,
38,,,2495,,0.03164725750684738,
,,0.001,2496,,,
,,0.001,2499,,,
39,0.030154595151543617,,2499,,,
,,0.001,2549,,,
39,0.03244693949818611,,2549,,,
39,,,2559,0.030566249042749405,,
39,,,2559,,0.03195038065314293,
,,0.001,2560,,,
,,0.001,2599,,,
40,0.03078281879425049,,2599,,,
40,,,2623,0.031653210520744324,,
40,,,2623,,0.031312935054302216,
,,0.001,2624,,,
,,0.001,2649,,,
41,0.0297048632055521,,2649,,,
41,,,2687,0.03183623030781746,,
41,,,2687,,0.03100775182247162,
,,0.001,2688,,,
,,0.001,2699,,,
42,0.03295137733221054,,2699,,,
,,0.001,2749,,,
42,0.030891988426446915,,2749,,,
42,,,2751,0.030016852542757988,,
42,,,2751,,0.030890215188264847,
,,0.001,2752,,,
,,0.001,2799,,,
43,0.030203185975551605,,2799,,,
43,,,2815,0.029834715649485588,,
43,,,2815,,0.030515681952238083,
,,0.001,2816,,,
,,0.001,2849,,,
44,0.03099815733730793,,2849,,,
44,,,2879,0.029886076226830482,,
44,,,2879,,0.030194593593478203,
,,0.001,2880,,,
,,0.001,2899,,,
45,0.02966146543622017,,2899,,,
45,,,2943,0.03051064908504486,,
45,,,2943,,0.029737891629338264,
,,0.001,2944,,,
,,0.001,2949,,,
46,0.0294936690479517,,2949,,,
,,0.001,2999,,,
46,0.028694594278931618,,2999,,,
46,,,3007,0.02935015968978405,,
46,,,3007,,0.029871709644794464,
,,0.001,3008,,,
,,0.001,3049,,,
47,0.030176853761076927,,3049,,,
47,,,3071,0.02887037768959999,,
47,,,3071,,0.03009982965886593,
,,0.001,3072,,,
,,0.001,3099,,,
48,0.02930935099720955,,3099,,,
48,,,3135,0.029574749991297722,,
48,,,3135,,0.02960873581469059,
,,0.001,3136,,,
,,0.001,3149,,,
49,0.029036441817879677,,3149,,,
,,0.001,3199,,,
49,0.0292066503316164,,3199,,,
49,,,3199,0.02857661247253418,,
49,,,3199,,0.02924407459795475,
,,0.001,3200,,,
,,0.001,3249,,,
50,0.02914530411362648,,3249,,,
50,,,3263,0.028508644551038742,,
50,,,3263,,0.028953680768609047,
,,0.001,3264,,,
,,0.001,3299,,,
51,0.029877595603466034,,3299,,,
51,,,3327,0.02868281491100788,,
51,,,3327,,0.02902364358305931,
,,0.001,3328,,,
,,0.001,3349,,,
52,0.029001375660300255,,3349,,,
52,,,3391,0.028298093006014824,,
52,,,3391,,0.028828563168644905,
,,0.001,3392,,,
,,0.001,3399,,,
53,0.028152642771601677,,3399,,,
,,0.001,3449,,,
53,0.028124403208494186,,3449,,,
53,,,3455,0.027983754873275757,,
53,,,3455,,0.02883927896618843,
,,0.001,3456,,,
,,0.001,3499,,,
54,0.028498049825429916,,3499,,,
54,,,3519,0.02804490551352501,,
54,,,3519,,0.028575347736477852,
,,0.001,3520,,,
,,0.001,3549,,,
55,0.027177395299077034,,3549,,,
55,,,3583,0.027855560183525085,,
55,,,3583,,0.02827243134379387,
,,0.001,3584,,,
,,0.001,3599,,,
56,0.027048788964748383,,3599,,,
56,,,3647,0.029726646840572357,,
56,,,3647,,0.02830040268599987,
,,0.001,3648,,,
,,0.001,3649,,,
57,0.028221651911735535,,3649,,,
,,0.001,3699,,,
57,0.030689867213368416,,3699,,,
57,,,3711,0.02881753258407116,,
57,,,3711,,0.029715541750192642,
,,0.001,3712,,,
,,0.001,3749,,,
58,0.028666969388723373,,3749,,,
58,,,3775,0.028125878423452377,,
58,,,3775,,0.02852071076631546,
,,0.001,3776,,,
,,0.001,3799,,,
59,0.027272643521428108,,3799,,,
59,,,3839,0.027844639495015144,,
59,,,3839,,0.02809586003422737,
,,0.001,3840,,,
,,0.001,3849,,,
60,0.029679663479328156,,3849,,,
,,0.001,3899,,,
60,0.028862465173006058,,3899,,,
60,,,3903,0.02731352671980858,,
60,,,3903,,0.02786090224981308,
,,0.001,3904,,,
,,0.001,3949,,,
61,0.02798496000468731,,3949,,,
61,,,3967,0.029843250289559364,,
61,,,3967,,0.02779499627649784,
,,0.001,3968,,,
,,0.001,3999,,,
62,0.029063109308481216,,3999,,,
62,,,4031,0.02952500991523266,,
62,,,4031,,0.02831445261836052,
,,0.001,4032,,,
,,0.001,4049,,,
63,0.02707045152783394,,4049,,,
63,,,4095,0.02732866443693638,,
63,,,4095,,0.027807069942355156,
,,0.001,4096,,,
,,0.001,4099,,,
64,0.02797757275402546,,4099,,,
,,0.001,4149,,,
64,0.02737218141555786,,4149,,,
64,,,4159,0.027055369690060616,,
64,,,4159,,0.027644082903862,
