step,lr-Adam,epoch,train_loss_step,val_loss,train_loss_epoch,test_loss
2431,,37,,,0.022007210180163383,
2432,0.001,,,,,
2449,0.001,,,,,
2449,,38,0.02182941511273384,,,
2495,,38,,0.021411443129181862,,
2495,,38,,,0.02133198454976082,
2496,0.001,,,,,
2499,0.001,,,,,
2499,,39,0.021253466606140137,,,
2549,0.001,,,,,
2549,,39,0.019231591373682022,,,
2559,,39,,0.020157331600785255,,
2559,,39,,,0.021365784108638763,
2560,0.001,,,,,
2599,0.001,,,,,
2599,,40,0.019962631165981293,,,
2623,,40,,0.022486204281449318,,
2623,,40,,,0.02110849693417549,
2624,0.001,,,,,
2649,0.001,,,,,
2649,,41,0.021355943754315376,,,
2687,,41,,0.020882416516542435,,
2687,,41,,,0.02192794904112816,
2688,0.001,,,,,
2699,0.001,,,,,
2699,,42,0.02248000167310238,,,
2749,0.001,,,,,
2749,,42,0.021259218454360962,,,
2751,,42,,0.01957084983587265,,
2751,,42,,,0.021361710503697395,
2752,0.001,,,,,
2799,0.001,,,,,
2799,,43,0.01979452185332775,,,
2815,,43,,0.01997239887714386,,
2815,,43,,,0.020761638879776,
2816,0.001,,,,,
2849,0.001,,,,,
2849,,44,0.02041485719382763,,,
2879,,44,,0.019442157819867134,,
2879,,44,,,0.020703032612800598,
2880,0.001,,,,,
2899,0.001,,,,,
2899,,45,0.020747685804963112,,,
2943,,45,,0.020425645634531975,,
2943,,45,,,0.020282849669456482,
2944,0.001,,,,,
2949,0.001,,,,,
2949,,46,0.021768365055322647,,,
2999,0.001,,,,,
2999,,46,0.018455514684319496,,,
3007,,46,,0.019601190462708473,,
3007,,46,,,0.019899405539035797,
3008,0.001,,,,,
3049,0.001,,,,,
3049,,47,0.020794222131371498,,,
3071,,47,,0.01942496746778488,,
3071,,47,,,0.02044202946126461,
3072,0.001,,,,,
3099,0.001,,,,,
3099,,48,0.020096439868211746,,,
3135,,48,,0.01909368671476841,,
3135,,48,,,0.019850734621286392,
3136,0.001,,,,,
3149,0.001,,,,,
3149,,49,0.019449159502983093,,,
3199,0.001,,,,,
3199,,49,0.020228181034326553,,,
3199,,49,,0.019298644736409187,,
3199,,49,,,0.0199214406311512,
3200,0.001,,,,,
3249,0.001,,,,,
3249,,50,0.01969975419342518,,,
3263,,50,,0.01984122022986412,,
3263,,50,,,0.01996731013059616,
3264,0.001,,,,,
3299,0.001,,,,,
3299,,51,0.019759487360715866,,,
3327,,51,,0.018968366086483,,
3327,,51,,,0.019902246072888374,
3328,0.001,,,,,
3349,0.001,,,,,
3349,,52,0.02169150300323963,,,
3391,,52,,0.018904834985733032,,
3391,,52,,,0.020068883895874023,
3392,0.001,,,,,
3399,0.001,,,,,
3399,,53,0.019289031624794006,,,
3449,0.001,,,,,
3449,,53,0.020155642181634903,,,
3455,,53,,0.020304908975958824,,
3455,,53,,,0.0196077898144722,
3456,0.001,,,,,
3499,0.001,,,,,
3499,,54,0.020006854087114334,,,
3519,,54,,0.01941814459860325,,
3519,,54,,,0.020279036834836006,
3520,0.001,,,,,
3549,0.001,,,,,
3549,,55,0.01849883235991001,,,
3583,,55,,0.019985070452094078,,
3583,,55,,,0.019297856837511063,
3584,0.001,,,,,
3599,0.001,,,,,
3599,,56,0.020016314461827278,,,
3647,,56,,0.019390175119042397,,
3647,,56,,,0.01957039162516594,
3648,0.001,,,,,
3649,0.001,,,,,
3649,,57,0.01864132285118103,,,
3699,0.001,,,,,
3699,,57,0.01788904517889023,,,
3711,,57,,0.019648117944598198,,
3711,,57,,,0.01923544332385063,
3712,0.001,,,,,
3749,0.001,,,,,
3749,,58,0.01830470748245716,,,
3775,,58,,0.018942272290587425,,
3775,,58,,,0.019197648391127586,
3776,0.001,,,,,
3799,0.001,,,,,
3799,,59,0.020385347306728363,,,
3839,,59,,0.018281960859894753,,
3839,,59,,,0.018762772902846336,
3840,0.001,,,,,
3849,0.001,,,,,
3849,,60,0.018720202147960663,,,
3899,0.001,,,,,
3899,,60,0.017719903960824013,,,
3903,,60,,0.01874159835278988,,
3903,,60,,,0.01902312971651554,
3904,0.001,,,,,
3949,0.001,,,,,
3949,,61,0.019495688378810883,,,
3967,,61,,0.019777892157435417,,
3967,,61,,,0.018913187086582184,
3968,0.001,,,,,
3999,0.001,,,,,
3999,,62,0.02292630262672901,,,
4031,,62,,0.018356481567025185,,
4031,,62,,,0.0189981646835804,
4032,0.001,,,,,
4049,0.001,,,,,
4049,,63,0.019434519112110138,,,
4095,,63,,0.01806982234120369,,
4095,,63,,,0.01840144582092762,
4096,0.001,,,,,
4099,0.001,,,,,
4099,,64,0.0179605633020401,,,
4149,0.001,,,,,
4149,,64,0.01966051571071148,,,
4159,,64,,0.019409917294979095,,
4159,,64,,,0.019518878310918808,
4160,0.001,,,,,
4199,0.001,,,,,
4199,,65,0.020874440670013428,,,
4223,,65,,0.017900221049785614,,
4223,,65,,,0.01899654231965542,
4224,0.001,,,,,
4249,0.001,,,,,
4249,,66,0.018884986639022827,,,
4287,,66,,0.018056893721222878,,
4287,,66,,,0.018497154116630554,
4288,0.001,,,,,
4299,0.001,,,,,
4299,,67,0.017490210011601448,,,
4349,0.001,,,,,
4349,,67,0.01803220622241497,,,
4351,,67,,0.017908239737153053,,
4351,,67,,,0.01861279271543026,
4352,0.001,,,,,
4399,0.001,,,,,
4399,,68,0.01812737062573433,,,
4415,,68,,0.018107669427990913,,
4415,,68,,,0.0181743111461401,
4416,0.001,,,,,
4449,0.001,,,,,
4449,,69,0.018007133156061172,,,
4479,,69,,0.01825661212205887,,
4479,,69,,,0.018116865307092667,
4480,0.001,,,,,
4499,0.001,,,,,
4499,,70,0.017669513821601868,,,
4543,,70,,0.01844092085957527,,
4543,,70,,,0.018149549141526222,
4544,0.001,,,,,
4549,0.001,,,,,
4549,,71,0.017287353053689003,,,
4599,0.001,,,,,
4599,,71,0.01856766641139984,,,
4607,,71,,0.01777593046426773,,
4607,,71,,,0.018243955448269844,
4608,0.001,,,,,
4649,0.001,,,,,
4649,,72,0.01655883714556694,,,
4671,,72,,0.01825881376862526,,
4671,,72,,,0.017830489203333855,
4672,0.001,,,,,
4699,0.001,,,,,
4699,,73,0.02078530751168728,,,
4735,,73,,0.017477871850132942,,
4735,,73,,,0.018142646178603172,
4736,0.001,,,,,
4749,0.001,,,,,
4749,,74,0.017297586426138878,,,
4799,0.001,,,,,
4799,,74,0.016772862523794174,,,
4799,,74,,0.0176842138171196,,
4799,,74,,,0.0176328644156456,
4800,0.001,,,,,
4849,0.001,,,,,
4849,,75,0.01704404130578041,,,
4863,,75,,0.017022551968693733,,
4863,,75,,,0.01758214831352234,
4864,0.001,,,,,
4899,0.001,,,,,
4899,,76,0.017359115183353424,,,
4927,,76,,0.017787883058190346,,
4927,,76,,,0.017334740608930588,
4928,0.001,,,,,
4949,0.001,,,,,
4949,,77,0.020026080310344696,,,
4991,,77,,0.017281170934438705,,
4991,,77,,,0.017834536731243134,
4992,0.001,,,,,
4999,0.001,,,,,
4999,,78,0.017923321574926376,,,
5049,0.001,,,,,
5049,,78,0.01673741266131401,,,
5055,,78,,0.017454257234930992,,
5055,,78,,,0.017578061670064926,
5056,0.001,,,,,
5099,0.001,,,,,
5099,,79,0.016901351511478424,,,
5119,,79,,0.017246000468730927,,
