train_loss_step,epoch,lr-Adam,step,val_loss,train_loss_epoch,test_loss
,,0.001,0,,,
,,0.001,49,,,
0.3563552498817444,0,,49,,,
,0,,63,0.2164534330368042,,
,0,,63,,0.443484902381897,
,,0.001,64,,,
,,0.001,99,,,
0.3122084140777588,1,,99,,,
,1,,127,0.14065800607204437,,
,1,,127,,0.3873237669467926,
,,0.001,128,,,
,,0.001,149,,,
0.2765170931816101,2,,149,,,
,2,,191,0.12741608917713165,,
,2,,191,,0.34882718324661255,
,,0.001,192,,,
,,0.001,199,,,
0.46094149351119995,3,,199,,,
,,0.001,249,,,
0.37441185116767883,3,,249,,,
,3,,255,0.1055995374917984,,
,3,,255,,0.3325251042842865,
,,0.001,256,,,
,,0.001,299,,,
0.27365702390670776,4,,299,,,
,4,,319,0.07868465781211853,,
,4,,319,,0.29687079787254333,
,,0.001,320,,,
,,0.001,349,,,
0.20570634305477142,5,,349,,,
,5,,383,0.0689384937286377,,
,5,,383,,0.2760540246963501,
,,0.001,384,,,
,,0.001,399,,,
0.150909423828125,6,,399,,,
,6,,447,0.061153627932071686,,
,6,,447,,0.2720206677913666,
,,0.001,448,,,
,,0.001,449,,,
0.3303543031215668,7,,449,,,
,,0.001,499,,,
0.30338576436042786,7,,499,,,
,7,,511,0.05721777305006981,,
,7,,511,,0.2631619870662689,
,,0.001,512,,,
,,0.001,549,,,
0.16292615234851837,8,,549,,,
,8,,575,0.06156724691390991,,
,8,,575,,0.26036274433135986,
,,0.001,576,,,
,,0.001,599,,,
0.29742521047592163,9,,599,,,
,9,,639,0.0497332401573658,,
,9,,639,,0.25397223234176636,
,,0.001,640,,,
,,0.001,649,,,
0.29145970940589905,10,,649,,,
,,0.001,699,,,
0.15201157331466675,10,,699,,,
,10,,703,0.05282580479979515,,
,10,,703,,0.24507980048656464,
,,0.001,704,,,
,,0.001,749,,,
0.26290270686149597,11,,749,,,
,11,,767,0.05102001875638962,,
,11,,767,,0.24535714089870453,
,,0.001,768,,,
,,0.001,799,,,
0.26366204023361206,12,,799,,,
,12,,831,0.04883686825633049,,
,12,,831,,0.24329300224781036,
,,0.001,832,,,
,,0.001,849,,,
0.26852038502693176,13,,849,,,
,13,,895,0.047304458916187286,,
,13,,895,,0.2411540001630783,
,,0.001,896,,,
,,0.001,899,,,
0.2717632055282593,14,,899,,,
,,0.001,949,,,
0.2660018801689148,14,,949,,,
,14,,959,0.04146759957075119,,
,14,,959,,0.24103736877441406,
,,0.001,960,,,
,,0.001,999,,,
0.21239005029201508,15,,999,,,
,15,,1023,0.039025139063596725,,
,15,,1023,,0.23819409310817719,
,,0.001,1024,,,
,,0.001,1049,,,
0.3599478304386139,16,,1049,,,
,16,,1087,0.04014160856604576,,
,16,,1087,,0.23683160543441772,
,,0.001,1088,,,
,,0.001,1099,,,
0.2582036256790161,17,,1099,,,
,,0.001,1149,,,
0.29172074794769287,17,,1149,,,
,17,,1151,0.041798561811447144,,
,17,,1151,,0.23663774132728577,
,,0.001,1152,,,
,,0.001,1199,,,
0.13488346338272095,18,,1199,,,
,18,,1215,0.042004071176052094,,
,18,,1215,,0.23410935699939728,
,,0.001,1216,,,
,,0.001,1249,,,
0.2531563937664032,19,,1249,,,
,19,,1279,0.04053368791937828,,
,19,,1279,,0.2363242357969284,
,,0.001,1280,,,
,,0.001,1299,,,
0.1996176540851593,20,,1299,,,
,20,,1343,0.03662772849202156,,
,20,,1343,,0.22964651882648468,
,,0.001,1344,,,
,,0.001,1349,,,
0.3106376528739929,21,,1349,,,
,,0.001,1399,,,
0.20472338795661926,21,,1399,,,
,21,,1407,0.036578260362148285,,
,21,,1407,,0.22886361181735992,
,,0.001,1408,,,
,,0.001,1449,,,
0.32400286197662354,22,,1449,,,
,22,,1471,0.03684471175074577,,
,22,,1471,,0.2333136349916458,
,,0.001,1472,,,
,,0.001,1499,,,
0.1756233125925064,23,,1499,,,
,23,,1535,0.035501495003700256,,
,23,,1535,,0.22805018723011017,
,,0.001,1536,,,
,,0.001,1549,,,
0.28023654222488403,24,,1549,,,
,,0.001,1599,,,
0.3421366214752197,24,,1599,,,
,24,,1599,0.03856787458062172,,
,24,,1599,,0.22797155380249023,
,,0.001,1600,,,
,,0.001,1649,,,
0.2159145474433899,25,,1649,,,
,25,,1663,0.040561046451330185,,
,25,,1663,,0.22994419932365417,
,,0.001,1664,,,
,,0.001,1699,,,
0.2182137817144394,26,,1699,,,
,26,,1727,0.03417098522186279,,
,26,,1727,,0.22765754163265228,
,,0.001,1728,,,
,,0.001,1749,,,
0.2635221779346466,27,,1749,,,
,27,,1791,0.03121955506503582,,
,27,,1791,,0.22772279381752014,
,,0.001,1792,,,
,,0.001,1799,,,
0.26877179741859436,28,,1799,,,
,,0.001,1849,,,
0.23429879546165466,28,,1849,,,
,28,,1855,0.03324109688401222,,
,28,,1855,,0.2236970067024231,
,,0.001,1856,,,
,,0.001,1899,,,
0.2570074498653412,29,,1899,,,
,29,,1919,0.036074455827474594,,
,29,,1919,,0.22621522843837738,
,,0.001,1920,,,
,,0.001,1949,,,
0.19772213697433472,30,,1949,,,
,30,,1983,0.033298373222351074,,
,30,,1983,,0.2246842086315155,
,,0.001,1984,,,
,,0.001,1999,,,
0.35174790024757385,31,,1999,,,
,31,,2047,0.03408117592334747,,
,31,,2047,,0.21957992017269135,
,,0.001,2048,,,
,,0.001,2049,,,
0.2585107088088989,32,,2049,,,
,,0.001,2099,,,
0.17544087767601013,32,,2099,,,
,32,,2111,0.035975322127342224,,
,32,,2111,,0.2224651277065277,
,,0.001,2112,,,
,,0.001,2149,,,
0.17892228066921234,33,,2149,,,
,33,,2175,0.036791302263736725,,
,33,,2175,,0.21892647445201874,
,,0.001,2176,,,
,,0.001,2199,,,
0.16793903708457947,34,,2199,,,
,34,,2239,0.033283211290836334,,
,34,,2239,,0.21878449618816376,
,,0.001,2240,,,
,,0.001,2249,,,
0.2634406089782715,35,,2249,,,
,,0.001,2299,,,
0.239291250705719,35,,2299,,,
,35,,2303,0.028702158480882645,,
,35,,2303,,0.21693186461925507,
,,0.001,2304,,,
,,0.001,2349,,,
0.09769684076309204,36,,2349,,,
,36,,2367,0.030680954456329346,,
,36,,2367,,0.217570498585701,
,,0.001,2368,,,
,,0.001,2399,,,
0.20465245842933655,37,,2399,,,
,37,,2431,0.03368178755044937,,
,37,,2431,,0.21757882833480835,
,,0.001,2432,,,
,,0.001,2449,,,
0.1675902009010315,38,,2449,,,
,38,,2495,0.02781221643090248,,
,38,,2495,,0.21732386946678162,
,,0.001,2496,,,
,,0.001,2499,,,
0.13912717998027802,39,,2499,,,
,,0.001,2549,,,
0.28148239850997925,39,,2549,,,
,39,,2559,0.028579391539096832,,
,39,,2559,,0.21377739310264587,
,,0.001,2560,,,
,,0.001,2599,,,
0.21186518669128418,40,,2599,,,
,40,,2623,0.028014881536364555,,
,40,,2623,,0.21563223004341125,
,,0.001,2624,,,
,,0.001,2649,,,
0.21834267675876617,41,,2649,,,
,41,,2687,0.029839523136615753,,
,41,,2687,,0.217560276389122,
,,0.001,2688,,,
,,0.001,2699,,,
0.18823188543319702,42,,2699,,,
,,0.001,2749,,,
0.20999981462955475,42,,2749,,,
,42,,2751,0.027350343763828278,,
,42,,2751,,0.21737568080425262,
,,0.001,2752,,,
,,0.001,2799,,,
0.2887535095214844,43,,2799,,,
,43,,2815,0.02643069252371788,,
,43,,2815,,0.2139768898487091,
,,0.001,2816,,,
,,0.001,2849,,,
0.26735007762908936,44,,2849,,,
,44,,2879,0.026183724403381348,,
,44,,2879,,0.21506838500499725,
,,0.001,2880,,,
,,0.001,2899,,,
0.1858462691307068,45,,2899,,,
,45,,2943,0.028079405426979065,,
,45,,2943,,0.21371221542358398,
,,0.001,2944,,,
,,0.001,2949,,,
0.23909778892993927,46,,2949,,,
,,0.001,2999,,,
0.3540813624858856,46,,2999,,,
,46,,3007,0.028895586729049683,,
,46,,3007,,0.21468660235404968,
,,0.001,3008,,,
,,0.001,3049,,,
0.21629738807678223,47,,3049,,,
,47,,3071,0.026855671778321266,,
,47,,3071,,0.21567930281162262,
,,0.001,3072,,,
,,0.001,3099,,,
0.2422325760126114,48,,3099,,,
,48,,3135,0.026435285806655884,,
,48,,3135,,0.21472908556461334,
,,0.001,3136,,,
,,0.001,3149,,,
0.1732281595468521,49,,3149,,,
,,0.001,3199,,,
0.2928277850151062,49,,3199,,,
,49,,3199,0.027494104579091072,,
,49,,3199,,0.21139578521251678,
,,0.001,3200,,,
,,0.001,3249,,,
0.25385135412216187,50,,3249,,,
