step,lr-Adam,epoch,train_loss_step,val_loss,train_loss_epoch,test_loss
2432,0.001,,,,,
2449,0.001,,,,,
2449,,38,0.7878298163414001,,,
2495,,38,,0.7991105318069458,,
2495,,38,,,0.792589545249939,
2496,0.001,,,,,
2499,0.001,,,,,
2499,,39,0.7824360728263855,,,
2549,0.001,,,,,
2549,,39,0.7765551805496216,,,
2559,,39,,0.7997244596481323,,
2559,,39,,,0.792527973651886,
2560,0.001,,,,,
2599,0.001,,,,,
2599,,40,0.8085699677467346,,,
2623,,40,,0.799045979976654,,
2623,,40,,,0.7926052212715149,
2624,0.001,,,,,
2649,0.001,,,,,
2649,,41,0.79820317029953,,,
2687,,41,,0.7996429204940796,,
2687,,41,,,0.7925366163253784,
2688,0.001,,,,,
2699,0.001,,,,,
2699,,42,0.767055332660675,,,
2749,0.001,,,,,
2749,,42,0.7820940613746643,,,
2751,,42,,0.7988524436950684,,
2751,,42,,,0.7925546169281006,
2752,0.001,,,,,
2799,0.001,,,,,
2799,,43,0.7906635403633118,,,
2815,,43,,0.7993303537368774,,
2815,,43,,,0.7924728989601135,
2816,0.001,,,,,
2849,0.001,,,,,
2849,,44,0.7908748984336853,,,
2879,,44,,0.7988181710243225,,
2879,,44,,,0.7921271324157715,
2880,0.001,,,,,
2899,0.001,,,,,
2899,,45,0.799618661403656,,,
2943,,45,,0.7994205355644226,,
2943,,45,,,0.7919942140579224,
2944,0.001,,,,,
2949,0.001,,,,,
2949,,46,0.7935406565666199,,,
2999,0.001,,,,,
2999,,46,0.7887318134307861,,,
3007,,46,,0.7988723516464233,,
3007,,46,,,0.7923996448516846,
3008,0.001,,,,,
3049,0.001,,,,,
3049,,47,0.7868850231170654,,,
3071,,47,,0.7988407611846924,,
3071,,47,,,0.7921913266181946,
3072,0.001,,,,,
3099,0.001,,,,,
3099,,48,0.7896993160247803,,,
3135,,48,,0.7987034916877747,,
3135,,48,,,0.791952908039093,
3136,0.001,,,,,
3149,0.001,,,,,
3149,,49,0.7870386838912964,,,
3199,0.001,,,,,
3199,,49,0.7975882291793823,,,
3199,,49,,0.7988088130950928,,
3199,,49,,,0.7919490337371826,
3200,0.001,,,,,
3249,0.001,,,,,
3249,,50,0.7715243697166443,,,
3263,,50,,0.7987158894538879,,
3263,,50,,,0.792214572429657,
3264,0.001,,,,,
3299,0.001,,,,,
3299,,51,0.8008899688720703,,,
3327,,51,,0.798621416091919,,
3327,,51,,,0.7918018102645874,
3328,0.001,,,,,
3349,0.001,,,,,
3349,,52,0.778546154499054,,,
3391,,52,,0.7986032366752625,,
3391,,52,,,0.7917060256004333,
3392,0.001,,,,,
3399,0.001,,,,,
3399,,53,0.7730871438980103,,,
3449,0.001,,,,,
3449,,53,0.7968084216117859,,,
3455,,53,,0.7984867095947266,,
3455,,53,,,0.7918311357498169,
3456,0.001,,,,,
3499,0.001,,,,,
3499,,54,0.7705132365226746,,,
3519,,54,,0.7984195947647095,,
3519,,54,,,0.791663646697998,
3520,0.001,,,,,
3549,0.001,,,,,
3549,,55,0.8191553950309753,,,
3583,,55,,0.7982645630836487,,
3583,,55,,,0.7916039228439331,
3584,0.001,,,,,
3599,0.001,,,,,
3599,,56,0.7882213592529297,,,
3647,,56,,0.7982741594314575,,
3647,,56,,,0.7915689945220947,
3648,0.001,,,,,
3649,0.001,,,,,
3649,,57,0.7729272842407227,,,
3699,0.001,,,,,
3699,,57,0.7866733074188232,,,
3711,,57,,0.7983864545822144,,
3711,,57,,,0.7920024991035461,
3712,0.001,,,,,
3749,0.001,,,,,
3749,,58,0.7596604824066162,,,
3775,,58,,0.7982348799705505,,
3775,,58,,,0.7917134165763855,
3776,0.001,,,,,
3799,0.001,,,,,
3799,,59,0.798931896686554,,,
3839,,59,,0.7981414198875427,,
3839,,59,,,0.7914831042289734,
3840,0.001,,,,,
3849,0.001,,,,,
3849,,60,0.7890698909759521,,,
3899,0.001,,,,,
3899,,60,0.7910917401313782,,,
3903,,60,,0.7984669208526611,,
3903,,60,,,0.7915804386138916,
3904,0.001,,,,,
3949,0.001,,,,,
3949,,61,0.8116676807403564,,,
3967,,61,,0.7981111407279968,,
3967,,61,,,0.7914964556694031,
3968,0.001,,,,,
3999,0.001,,,,,
3999,,62,0.7875838279724121,,,
4031,,62,,0.7980679273605347,,
4031,,62,,,0.7915332913398743,
4032,0.001,,,,,
4049,0.001,,,,,
4049,,63,0.8075119853019714,,,
4095,,63,,0.7981119751930237,,
4095,,63,,,0.7918525338172913,
4096,0.001,,,,,
4099,0.001,,,,,
4099,,64,0.7806323766708374,,,
4149,0.001,,,,,
4149,,64,0.7851207852363586,,,
4159,,64,,0.7988299131393433,,
4159,,64,,,0.7914034128189087,
4160,0.001,,,,,
4199,0.001,,,,,
4199,,65,0.7732065320014954,,,
4223,,65,,0.7979577779769897,,
4223,,65,,,0.7914624214172363,
4224,0.001,,,,,
4249,0.001,,,,,
4249,,66,0.7892884612083435,,,
4287,,66,,0.7978982925415039,,
4287,,66,,,0.7912264466285706,
4288,0.001,,,,,
4299,0.001,,,,,
4299,,67,0.7752112746238708,,,
4349,0.001,,,,,
4349,,67,0.7878677248954773,,,
4351,,67,,0.797958493232727,,
4351,,67,,,0.7911722660064697,
4352,0.001,,,,,
4399,0.001,,,,,
4399,,68,0.8073118925094604,,,
4415,,68,,0.7979002594947815,,
4415,,68,,,0.7912060618400574,
4416,0.001,,,,,
4449,0.001,,,,,
4449,,69,0.7974337935447693,,,
4479,,69,,0.7979932427406311,,
4479,,69,,,0.7912060022354126,
4480,0.001,,,,,
4499,0.001,,,,,
4499,,70,0.8153956532478333,,,
4543,,70,,0.7980971932411194,,
4543,,70,,,0.7912593483924866,
4544,0.001,,,,,
4549,0.001,,,,,
4549,,71,0.8127532601356506,,,
4599,0.001,,,,,
4599,,71,0.7763720750808716,,,
4607,,71,,0.7982305884361267,,
4607,,71,,,0.7912297248840332,
4608,0.001,,,,,
4649,0.001,,,,,
4649,,72,0.7861713767051697,,,
4671,,72,,0.7981293201446533,,
4671,,72,,,0.7911574244499207,
4672,0.001,,,,,
4699,0.001,,,,,
4699,,73,0.7838320136070251,,,
4735,,73,,0.7980860471725464,,
4735,,73,,,0.7914353609085083,
4736,0.001,,,,,
4749,0.001,,,,,
4749,,74,0.7923189997673035,,,
4799,0.001,,,,,
4799,,74,0.793750524520874,,,
4799,,74,,0.797968327999115,,
4799,,74,,,0.7911818623542786,
4800,0.001,,,,,
4849,0.001,,,,,
4849,,75,0.820184051990509,,,
4863,,75,,0.7979722023010254,,
4863,,75,,,0.7912859916687012,
4864,0.001,,,,,
4899,0.001,,,,,
4899,,76,0.7755946516990662,,,
4927,,76,,0.7980518937110901,,
4927,,76,,,0.7911479473114014,
4928,0.001,,,,,
4949,0.001,,,,,
4949,,77,0.7992409467697144,,,
4991,,77,,0.7977283000946045,,
4991,,77,,,0.7911613583564758,
4992,0.001,,,,,
4999,0.001,,,,,
4999,,78,0.7881115674972534,,,
5049,0.001,,,,,
5049,,78,0.7870938777923584,,,
5055,,78,,0.797888994216919,,
5055,,78,,,0.7909968495368958,
5056,0.001,,,,,
5099,0.001,,,,,
5099,,79,0.8046218156814575,,,
5119,,79,,0.797723650932312,,
5119,,79,,,0.7910891771316528,
5120,0.001,,,,,
5149,0.001,,,,,
5149,,80,0.7741824388504028,,,
