lr-Adam,train_loss_step,step,epoch,val_loss,train_loss_epoch,test_loss
,,2431,37,,0.017731521278619766,
0.001,,2432,,,,
0.001,,2449,,,,
,0.018141809850931168,2449,38,,,
,,2495,38,0.01686648465692997,,
,,2495,38,,0.017458466812968254,
0.001,,2496,,,,
0.001,,2499,,,,
,0.01778392866253853,2499,39,,,
0.001,,2549,,,,
,0.019429538398981094,2549,39,,,
,,2559,39,0.01716879941523075,,
,,2559,39,,0.01767474040389061,
0.001,,2560,,,,
0.001,,2599,,,,
,0.01856624148786068,2599,40,,,
,,2623,40,0.01691044308245182,,
,,2623,40,,0.017482023686170578,
0.001,,2624,,,,
0.001,,2649,,,,
,0.01948571763932705,2649,41,,,
,,2687,41,0.0165589340031147,,
,,2687,41,,0.01782059110701084,
0.001,,2688,,,,
0.001,,2699,,,,
,0.01713516004383564,2699,42,,,
0.001,,2749,,,,
,0.016237743198871613,2749,42,,,
,,2751,42,0.016612889245152473,,
,,2751,42,,0.01712363213300705,
0.001,,2752,,,,
0.001,,2799,,,,
,0.01686074770987034,2799,43,,,
,,2815,43,0.016872581094503403,,
,,2815,43,,0.017317069694399834,
0.001,,2816,,,,
0.001,,2849,,,,
,0.018678542226552963,2849,44,,,
,,2879,44,0.016347071155905724,,
,,2879,44,,0.017291245982050896,
0.001,,2880,,,,
0.001,,2899,,,,
,0.017053918913006783,2899,45,,,
,,2943,45,0.01632327027618885,,
,,2943,45,,0.01704948954284191,
0.001,,2944,,,,
0.001,,2949,,,,
,0.01690913364291191,2949,46,,,
0.001,,2999,,,,
,0.016671452671289444,2999,46,,,
,,3007,46,0.016505775973200798,,
,,3007,46,,0.017098449170589447,
0.001,,3008,,,,
0.001,,3049,,,,
,0.017582112923264503,3049,47,,,
,,3071,47,0.016233166679739952,,
,,3071,47,,0.016974270343780518,
0.001,,3072,,,,
0.001,,3099,,,,
,0.016296716406941414,3099,48,,,
,,3135,48,0.016260894015431404,,
,,3135,48,,0.01693889871239662,
0.001,,3136,,,,
0.001,,3149,,,,
,0.016758369281888008,3149,49,,,
0.001,,3199,,,,
,0.017048371955752373,3199,49,,,
,,3199,49,0.016881443560123444,,
,,3199,49,,0.016849230974912643,
0.001,,3200,,,,
0.001,,3249,,,,
,0.01501422468572855,3249,50,,,
,,3263,50,0.016577700152993202,,
,,3263,50,,0.017013002187013626,
0.001,,3264,,,,
0.001,,3299,,,,
,0.017054179683327675,3299,51,,,
,,3327,51,0.0167180597782135,,
,,3327,51,,0.016749989241361618,
0.001,,3328,,,,
0.001,,3349,,,,
,0.015683239325881004,3349,52,,,
,,3391,52,0.017005113884806633,,
,,3391,52,,0.01692013256251812,
0.001,,3392,,,,
0.001,,3399,,,,
,0.018199516460299492,3399,53,,,
0.001,,3449,,,,
,0.01837724819779396,3449,53,,,
,,3455,53,0.016051387414336205,,
,,3455,53,,0.01715320721268654,
0.001,,3456,,,,
0.001,,3499,,,,
,0.017063574865460396,3499,54,,,
,,3519,54,0.016973169520497322,,
,,3519,54,,0.0167209692299366,
0.001,,3520,,,,
0.001,,3549,,,,
,0.01578087918460369,3549,55,,,
,,3583,55,0.01626497134566307,,
,,3583,55,,0.016941972076892853,
0.001,,3584,,,,
0.001,,3599,,,,
,0.01892055571079254,3599,56,,,
,,3647,56,0.016068406403064728,,
,,3647,56,,0.016531696543097496,
0.001,,3648,,,,
0.001,,3649,,,,
,0.01516692154109478,3649,57,,,
0.001,,3699,,,,
,0.015912076458334923,3699,57,,,
,,3711,57,0.015926221385598183,,
,,3711,57,,0.016420988366007805,
0.001,,3712,,,,
0.001,,3749,,,,
,0.018114520236849785,3749,58,,,
,,3775,58,0.016220927238464355,,
,,3775,58,,0.016491031274199486,
0.001,,3776,,,,
0.001,,3799,,,,
,0.016891013830900192,3799,59,,,
,,3839,59,0.016761183738708496,,
,,3839,59,,0.01668689027428627,
0.001,,3840,,,,
0.001,,3849,,,,
,0.01498506497591734,3849,60,,,
0.001,,3899,,,,
,0.01714768446981907,3899,60,,,
,,3903,60,0.015793612226843834,,
,,3903,60,,0.016419757157564163,
0.001,,3904,,,,
0.001,,3949,,,,
,0.01571349799633026,3949,61,,,
,,3967,61,0.015945101156830788,,
,,3967,61,,0.01633523777127266,
0.001,,3968,,,,
0.001,,3999,,,,
,0.01617015339434147,3999,62,,,
,,4031,62,0.01636294648051262,,
,,4031,62,,0.016637492924928665,
0.001,,4032,,,,
0.001,,4049,,,,
,0.01697770692408085,4049,63,,,
,,4095,63,0.01580698974430561,,
,,4095,63,,0.016405951231718063,
0.001,,4096,,,,
0.001,,4099,,,,
,0.01795346848666668,4099,64,,,
0.001,,4149,,,,
,0.018231160938739777,4149,64,,,
,,4159,64,0.016365595161914825,,
,,4159,64,,0.016753407195210457,
0.001,,4160,,,,
0.001,,4199,,,,
,0.017606953158974648,4199,65,,,
,,4223,65,0.015933552756905556,,
,,4223,65,,0.01626984216272831,
0.001,,4224,,,,
0.001,,4249,,,,
,0.01611652784049511,4249,66,,,
,,4287,66,0.016445878893136978,,
,,4287,66,,0.016485892236232758,
0.001,,4288,,,,
0.001,,4299,,,,
,0.015264139510691166,4299,67,,,
0.001,,4349,,,,
,0.015491717495024204,4349,67,,,
