step,train_loss_step,lr-Adam,epoch,val_loss,train_loss_epoch,test_loss
0,,0.001,,,,
49,,0.001,,,,
49,0.47394347190856934,,0,,,
63,,,0,0.20667405426502228,,
63,,,0,,0.44424962997436523,
64,,0.001,,,,
99,,0.001,,,,
99,0.46281999349594116,,1,,,
127,,,1,0.16391384601593018,,
127,,,1,,0.3924579918384552,
128,,0.001,,,,
149,,0.001,,,,
149,0.3229363262653351,,2,,,
191,,,2,0.09546542167663574,,
191,,,2,,0.344660222530365,
192,,0.001,,,,
199,,0.001,,,,
199,0.2735080420970917,,3,,,
249,,0.001,,,,
249,0.37914928793907166,,3,,,
255,,,3,0.08325520902872086,,
255,,,3,,0.3064325749874115,
256,,0.001,,,,
299,,0.001,,,,
299,0.32630303502082825,,4,,,
319,,,4,0.07340341061353683,,
319,,,4,,0.29071247577667236,
320,,0.001,,,,
349,,0.001,,,,
349,0.19564540684223175,,5,,,
383,,,5,0.06612595915794373,,
383,,,5,,0.2778029441833496,
384,,0.001,,,,
399,,0.001,,,,
399,0.2639307379722595,,6,,,
447,,,6,0.05945957452058792,,
447,,,6,,0.2728363573551178,
448,,0.001,,,,
449,,0.001,,,,
449,0.27746719121932983,,7,,,
499,,0.001,,,,
499,0.29735615849494934,,7,,,
511,,,7,0.05713421851396561,,
511,,,7,,0.26021379232406616,
512,,0.001,,,,
549,,0.001,,,,
549,0.25649213790893555,,8,,,
575,,,8,0.053713973611593246,,
575,,,8,,0.2646291255950928,
576,,0.001,,,,
599,,0.001,,,,
599,0.1752903312444687,,9,,,
639,,,9,0.07813942432403564,,
639,,,9,,0.25857582688331604,
640,,0.001,,,,
649,,0.001,,,,
649,0.3856956958770752,,10,,,
699,,0.001,,,,
699,0.3009878098964691,,10,,,
703,,,10,0.05530025064945221,,
703,,,10,,0.2568534016609192,
704,,0.001,,,,
749,,0.001,,,,
749,0.29939982295036316,,11,,,
767,,,11,0.049235809594392776,,
767,,,11,,0.25170472264289856,
768,,0.001,,,,
799,,0.001,,,,
799,0.15206849575042725,,12,,,
831,,,12,0.05529206991195679,,
831,,,12,,0.24892689287662506,
832,,0.001,,,,
849,,0.001,,,,
849,0.21529513597488403,,13,,,
895,,,13,0.05049510300159454,,
895,,,13,,0.2506410479545593,
896,,0.001,,,,
899,,0.001,,,,
899,0.1766764521598816,,14,,,
949,,0.001,,,,
949,0.2910040616989136,,14,,,
959,,,14,0.053439944982528687,,
959,,,14,,0.2457852065563202,
960,,0.001,,,,
999,,0.001,,,,
999,0.22770778834819794,,15,,,
1023,,,15,0.05907084047794342,,
1023,,,15,,0.2471846491098404,
1024,,0.001,,,,
1049,,0.001,,,,
1049,0.3002031147480011,,16,,,
1087,,,16,0.046643152832984924,,
1087,,,16,,0.24627622961997986,
1088,,0.001,,,,
1099,,0.001,,,,
1099,0.2765330970287323,,17,,,
1149,,0.001,,,,
1149,0.20825687050819397,,17,,,
1151,,,17,0.04457230865955353,,
1151,,,17,,0.24406400322914124,
1152,,0.001,,,,
1199,,0.001,,,,
1199,0.20898249745368958,,18,,,
1215,,,18,0.04892764613032341,,
1215,,,18,,0.24568185210227966,
1216,,0.001,,,,
1249,,0.001,,,,
1249,0.24365611374378204,,19,,,
1279,,,19,0.04359286278486252,,
1279,,,19,,0.2417490929365158,
1280,,0.001,,,,
1299,,0.001,,,,
1299,0.173542782664299,,20,,,
1343,,,20,0.04356404021382332,,
1343,,,20,,0.24220357835292816,
1344,,0.001,,,,
1349,,0.001,,,,
1349,0.22734588384628296,,21,,,
1399,,0.001,,,,
1399,0.23601706326007843,,21,,,
1407,,,21,0.04274886101484299,,
1407,,,21,,0.23982109129428864,
1408,,0.001,,,,
1449,,0.001,,,,
1449,0.26775693893432617,,22,,,
1471,,,22,0.043858401477336884,,
1471,,,22,,0.23922806978225708,
1472,,0.001,,,,
1499,,0.001,,,,
1499,0.19838012754917145,,23,,,
1535,,,23,0.04309370741248131,,
1535,,,23,,0.23831701278686523,
1536,,0.001,,,,
1549,,0.001,,,,
1549,0.35694077610969543,,24,,,
1599,,0.001,,,,
1599,0.2247549593448639,,24,,,
1599,,,24,0.04071173816919327,,
1599,,,24,,0.23715738952159882,
1600,,0.001,,,,
1649,,0.001,,,,
1649,0.22764036059379578,,25,,,
1663,,,25,0.04528860002756119,,
1663,,,25,,0.23618973791599274,
1664,,0.001,,,,
1699,,0.001,,,,
1699,0.282267689704895,,26,,,
1727,,,26,0.03946669399738312,,
1727,,,26,,0.2370556741952896,
1728,,0.001,,,,
1749,,0.001,,,,
1749,0.21485866606235504,,27,,,
1791,,,27,0.040515314787626266,,
1791,,,27,,0.23579536378383636,
1792,,0.001,,,,
1799,,0.001,,,,
1799,0.1728729009628296,,28,,,
1849,,0.001,,,,
1849,0.25314590334892273,,28,,,
1855,,,28,0.03775331377983093,,
1855,,,28,,0.2336398959159851,
1856,,0.001,,,,
1899,,0.001,,,,
1899,0.30970513820648193,,29,,,
1919,,,29,0.03840816020965576,,
1919,,,29,,0.23306438326835632,
1920,,0.001,,,,
1949,,0.001,,,,
1949,0.2115042358636856,,30,,,
1983,,,30,0.04243120551109314,,
1983,,,30,,0.23516055941581726,
1984,,0.001,,,,
1999,,0.001,,,,
1999,0.22046613693237305,,31,,,
2047,,,31,0.03635873273015022,,
2047,,,31,,0.23271018266677856,
2048,,0.001,,,,
2049,,0.001,,,,
2049,0.24748890101909637,,32,,,
2099,,0.001,,,,
2099,0.17783567309379578,,32,,,
2111,,,32,0.03678550943732262,,
2111,,,32,,0.23062780499458313,
2112,,0.001,,,,
2149,,0.001,,,,
2149,0.24672956764698029,,33,,,
2175,,,33,0.03938426077365875,,
2175,,,33,,0.23158936202526093,
2176,,0.001,,,,
2199,,0.001,,,,
2199,0.16229909658432007,,34,,,
2239,,,34,0.03436189889907837,,
2239,,,34,,0.23142604529857635,
2240,,0.001,,,,
2249,,0.001,,,,
2249,0.20958669483661652,,35,,,
2299,,0.001,,,,
2299,0.14440077543258667,,35,,,
2303,,,35,0.03419677913188934,,
2303,,,35,,0.2269212007522583,
2304,,0.001,,,,
2349,,0.001,,,,
2349,0.35515668988227844,,36,,,
2367,,,36,0.03241588920354843,,
2367,,,36,,0.2294413447380066,
2368,,0.001,,,,
2399,,0.001,,,,
2399,0.21958890557289124,,37,,,
2431,,,37,0.03461078181862831,,
2431,,,37,,0.2269870787858963,
2432,,0.001,,,,
2449,,0.001,,,,
2449,0.28097912669181824,,38,,,
2495,,,38,0.03439202532172203,,
2495,,,38,,0.2260759025812149,
2496,,0.001,,,,
2499,,0.001,,,,
2499,0.17146366834640503,,39,,,
2549,,0.001,,,,
2549,0.3025335967540741,,39,,,
2559,,,39,0.036695096641778946,,
2559,,,39,,0.2255517691373825,
2560,,0.001,,,,
2599,,0.001,,,,
2599,0.19801212847232819,,40,,,
2623,,,40,0.031405072659254074,,
2623,,,40,,0.22533032298088074,
2624,,0.001,,,,
2649,,0.001,,,,
2649,0.19638490676879883,,41,,,
2687,,,41,0.03191487491130829,,
2687,,,41,,0.22484436631202698,
2688,,0.001,,,,
2699,,0.001,,,,
2699,0.21014292538166046,,42,,,
2749,,0.001,,,,
2749,0.20711155235767365,,42,,,
2751,,,42,0.031100207939743996,,
2751,,,42,,0.22579173743724823,
2752,,0.001,,,,
2799,,0.001,,,,
