train_loss_step,epoch,step,lr-Adam,val_loss,train_loss_epoch,test_loss
,,2432,0.001,,,
,,2449,0.001,,,
0.8018284440040588,38,2449,,,,
,38,2495,,0.796646237373352,,
,38,2495,,,0.7896443605422974,
,,2496,0.001,,,
,,2499,0.001,,,
0.8155631422996521,39,2499,,,,
,,2549,0.001,,,
0.789450466632843,39,2549,,,,
,39,2559,,0.7967754602432251,,
,39,2559,,,0.789767861366272,
,,2560,0.001,,,
,,2599,0.001,,,
0.7816434502601624,40,2599,,,,
,40,2623,,0.7963272929191589,,
,40,2623,,,0.7895833253860474,
,,2624,0.001,,,
,,2649,0.001,,,
0.8229652047157288,41,2649,,,,
,41,2687,,0.7962019443511963,,
,41,2687,,,0.7894455790519714,
,,2688,0.001,,,
,,2699,0.001,,,
0.8241710066795349,42,2699,,,,
,,2749,0.001,,,
0.8067107200622559,42,2749,,,,
,42,2751,,0.7961430549621582,,
,42,2751,,,0.7895036339759827,
,,2752,0.001,,,
,,2799,0.001,,,
0.8060488104820251,43,2799,,,,
,43,2815,,0.796066403388977,,
,43,2815,,,0.7893280982971191,
,,2816,0.001,,,
,,2849,0.001,,,
0.7793951630592346,44,2849,,,,
,44,2879,,0.7960659861564636,,
,44,2879,,,0.7894572615623474,
,,2880,0.001,,,
,,2899,0.001,,,
0.7515668272972107,45,2899,,,,
,45,2943,,0.7959751486778259,,
,45,2943,,,0.7892365455627441,
,,2944,0.001,,,
,,2949,0.001,,,
0.8101986646652222,46,2949,,,,
,,2999,0.001,,,
0.8197314143180847,46,2999,,,,
,46,3007,,0.7958768010139465,,
,46,3007,,,0.7892084121704102,
,,3008,0.001,,,
,,3049,0.001,,,
0.7786908745765686,47,3049,,,,
,47,3071,,0.7961872816085815,,
,47,3071,,,0.7893010973930359,
,,3072,0.001,,,
,,3099,0.001,,,
0.7939363718032837,48,3099,,,,
,48,3135,,0.7958717346191406,,
,48,3135,,,0.7891469597816467,
,,3136,0.001,,,
,,3149,0.001,,,
0.7850673198699951,49,3149,,,,
,,3199,0.001,,,
0.7572574615478516,49,3199,,,,
,49,3199,,0.7958410382270813,,
,49,3199,,,0.7889817953109741,
,,3200,0.001,,,
,,3249,0.001,,,
0.7665178775787354,50,3249,,,,
,50,3263,,0.7956405878067017,,
,50,3263,,,0.7889298796653748,
,,3264,0.001,,,
,,3299,0.001,,,
0.8089807629585266,51,3299,,,,
,51,3327,,0.7970452904701233,,
,51,3327,,,0.7889651656150818,
,,3328,0.001,,,
,,3349,0.001,,,
0.7661017179489136,52,3349,,,,
,52,3391,,0.7956656813621521,,
,52,3391,,,0.7893105745315552,
,,3392,0.001,,,
,,3399,0.001,,,
0.7921280860900879,53,3399,,,,
,,3449,0.001,,,
0.7914023399353027,53,3449,,,,
,53,3455,,0.7955321073532104,,
,53,3455,,,0.7887483835220337,
,,3456,0.001,,,
,,3499,0.001,,,
0.7822523713111877,54,3499,,,,
,54,3519,,0.79557865858078,,
,54,3519,,,0.7887634038925171,
,,3520,0.001,,,
,,3549,0.001,,,
0.8171462416648865,55,3549,,,,
,55,3583,,0.7954869866371155,,
,55,3583,,,0.7886667847633362,
,,3584,0.001,,,
,,3599,0.001,,,
0.8036024570465088,56,3599,,,,
,56,3647,,0.7962018251419067,,
,56,3647,,,0.7886099815368652,
,,3648,0.001,,,
,,3649,0.001,,,
0.7884862422943115,57,3649,,,,
,,3699,0.001,,,
0.8022471070289612,57,3699,,,,
,57,3711,,0.7954487204551697,,
,57,3711,,,0.7887603044509888,
,,3712,0.001,,,
,,3749,0.001,,,
0.7904964685440063,58,3749,,,,
,58,3775,,0.795789361000061,,
,58,3775,,,0.7885629534721375,
,,3776,0.001,,,
,,3799,0.001,,,
0.8090938329696655,59,3799,,,,
,59,3839,,0.7953125834465027,,
,59,3839,,,0.7885889410972595,
,,3840,0.001,,,
,,3849,0.001,,,
0.768742561340332,60,3849,,,,
,,3899,0.001,,,
0.775902271270752,60,3899,,,,
,60,3903,,0.7953177094459534,,
,60,3903,,,0.7884668707847595,
,,3904,0.001,,,
,,3949,0.001,,,
0.7980714440345764,61,3949,,,,
,61,3967,,0.7956544160842896,,
,61,3967,,,0.7890626788139343,
,,3968,0.001,,,
,,3999,0.001,,,
0.7924108505249023,62,3999,,,,
,62,4031,,0.795389711856842,,
,62,4031,,,0.788843035697937,
,,4032,0.001,,,
,,4049,0.001,,,
0.775385856628418,63,4049,,,,
,63,4095,,0.7952538132667542,,
,63,4095,,,0.7884567379951477,
,,4096,0.001,,,
,,4099,0.001,,,
0.7868577241897583,64,4099,,,,
,,4149,0.001,,,
0.7926925420761108,64,4149,,,,
,64,4159,,0.7953899502754211,,
,64,4159,,,0.7883715629577637,
,,4160,0.001,,,
,,4199,0.001,,,
0.7822020053863525,65,4199,,,,
,65,4223,,0.7953219413757324,,
,65,4223,,,0.7883354425430298,
,,4224,0.001,,,
,,4249,0.001,,,
0.7826376557350159,66,4249,,,,
,66,4287,,0.7953689098358154,,
,66,4287,,,0.7884396910667419,
,,4288,0.001,,,
,,4299,0.001,,,
0.7869678139686584,67,4299,,,,
,,4349,0.001,,,
0.7927858233451843,67,4349,,,,
,67,4351,,0.7951557636260986,,
,67,4351,,,0.7883456349372864,
,,4352,0.001,,,
,,4399,0.001,,,
0.8239018321037292,68,4399,,,,
,68,4415,,0.7952674627304077,,
,68,4415,,,0.7884324193000793,
,,4416,0.001,,,
,,4449,0.001,,,
0.7713802456855774,69,4449,,,,
,69,4479,,0.7952283620834351,,
,69,4479,,,0.7883086800575256,
,,4480,0.001,,,
,,4499,0.001,,,
0.8160314559936523,70,4499,,,,
,70,4543,,0.7953140139579773,,
,70,4543,,,0.7883694171905518,
,,4544,0.001,,,
,,4549,0.001,,,
0.8018096685409546,71,4549,,,,
,,4599,0.001,,,
0.8224795460700989,71,4599,,,,
,71,4607,,0.795867919921875,,
,71,4607,,,0.7885661125183105,
,,4608,0.001,,,
,,4649,0.001,,,
0.8079727292060852,72,4649,,,,
,72,4671,,0.7954617142677307,,
,72,4671,,,0.7888797521591187,
,,4672,0.001,,,
,,4699,0.001,,,
0.7882843613624573,73,4699,,,,
,73,4735,,0.7951757907867432,,
,73,4735,,,0.7883430123329163,
,,4736,0.001,,,
,,4749,0.001,,,
0.7697258591651917,74,4749,,,,
,,4799,0.001,,,
0.8113910555839539,74,4799,,,,
,74,4799,,0.7950745224952698,,
,74,4799,,,0.7882424592971802,
,,4800,0.001,,,
,,4849,0.001,,,
0.797421932220459,75,4849,,,,
,75,4863,,0.7951021790504456,,
,75,4863,,,0.7881778478622437,
,,4864,0.001,,,
,,4899,0.001,,,
0.8088781833648682,76,4899,,,,
,76,4927,,0.7950647473335266,,
,76,4927,,,0.7881731390953064,
,,4928,0.001,,,
,,4949,0.001,,,
0.7591283917427063,77,4949,,,,
,77,4991,,0.7950049042701721,,
,77,4991,,,0.7882134914398193,
,,4992,0.001,,,
,,4999,0.001,,,
0.7861530780792236,78,4999,,,,
,,5049,0.001,,,
0.7750241756439209,78,5049,,,,
,78,5055,,0.7950910925865173,,
,78,5055,,,0.7881844639778137,
,,5056,0.001,,,
,,5099,0.001,,,
0.8019642233848572,79,5099,,,,
,79,5119,,0.7950876951217651,,
,79,5119,,,0.788227915763855,
,,5120,0.001,,,
,,5149,0.001,,,
0.784381628036499,80,5149,,,,
