train_loss_step,step,lr-Adam,epoch,val_loss,train_loss_epoch,test_loss
,0,0.001,,,,
,49,0.001,,,,
0.8271448016166687,49,,0,,,
,63,,0,0.8155117034912109,,
,63,,0,,0.9002318978309631,
,64,0.001,,,,
,99,0.001,,,,
0.7807892560958862,99,,1,,,
,127,,1,0.8027302026748657,,
,127,,1,,0.7996826767921448,
,128,0.001,,,,
,149,0.001,,,,
0.7818301320075989,149,,2,,,
,191,,2,0.7999479174613953,,
,191,,2,,0.7944380044937134,
,192,0.001,,,,
,199,0.001,,,,
0.793910801410675,199,,3,,,
,249,0.001,,,,
0.7842782139778137,249,,3,,,
,255,,3,0.7981436252593994,,
,255,,3,,0.7924555540084839,
,256,0.001,,,,
,299,0.001,,,,
0.7807515263557434,299,,4,,,
,319,,4,0.7976222634315491,,
,319,,4,,0.791294515132904,
,320,0.001,,,,
,349,0.001,,,,
0.8090416789054871,349,,5,,,
,383,,5,0.7973102927207947,,
,383,,5,,0.7911767959594727,
,384,0.001,,,,
,399,0.001,,,,
0.7782662510871887,399,,6,,,
,447,,6,0.7972038388252258,,
,447,,6,,0.7905531525611877,
,448,0.001,,,,
,449,0.001,,,,
0.7881534695625305,449,,7,,,
,499,0.001,,,,
0.8031657338142395,499,,7,,,
,511,,7,0.7968662977218628,,
,511,,7,,0.7905135154724121,
,512,0.001,,,,
,549,0.001,,,,
0.812568724155426,549,,8,,,
,575,,8,0.7966534495353699,,
,575,,8,,0.790411114692688,
,576,0.001,,,,
,599,0.001,,,,
0.7973265647888184,599,,9,,,
,639,,9,0.7965695261955261,,
,639,,9,,0.7899272441864014,
,640,0.001,,,,
,649,0.001,,,,
0.8041824102401733,649,,10,,,
,699,0.001,,,,
0.7499310970306396,699,,10,,,
,703,,10,0.7963270545005798,,
,703,,10,,0.789685070514679,
,704,0.001,,,,
,749,0.001,,,,
0.8077108860015869,749,,11,,,
,767,,11,0.7965708374977112,,
,767,,11,,0.7896227240562439,
,768,0.001,,,,
,799,0.001,,,,
0.7819858193397522,799,,12,,,
,831,,12,0.7960177063941956,,
,831,,12,,0.7895665168762207,
,832,0.001,,,,
,849,0.001,,,,
0.7878077030181885,849,,13,,,
,895,,13,0.7959540486335754,,
,895,,13,,0.7895572185516357,
,896,0.001,,,,
,899,0.001,,,,
0.7887135744094849,899,,14,,,
,949,0.001,,,,
0.8037503361701965,949,,14,,,
,959,,14,0.7957791686058044,,
,959,,14,,0.7891092300415039,
,960,0.001,,,,
,999,0.001,,,,
0.8005412220954895,999,,15,,,
,1023,,15,0.7959845662117004,,
,1023,,15,,0.7889977097511292,
,1024,0.001,,,,
,1049,0.001,,,,
0.8058281540870667,1049,,16,,,
,1087,,16,0.795714795589447,,
,1087,,16,,0.7891591191291809,
,1088,0.001,,,,
,1099,0.001,,,,
0.7858346700668335,1099,,17,,,
,1149,0.001,,,,
0.7816150784492493,1149,,17,,,
,1151,,17,0.7954034209251404,,
,1151,,17,,0.7887940406799316,
,1152,0.001,,,,
,1199,0.001,,,,
0.8134284019470215,1199,,18,,,
,1215,,18,0.7953717112541199,,
,1215,,18,,0.7885329127311707,
,1216,0.001,,,,
,1249,0.001,,,,
0.7596455216407776,1249,,19,,,
,1279,,19,0.7952477931976318,,
,1279,,19,,0.7885612845420837,
,1280,0.001,,,,
,1299,0.001,,,,
0.785700261592865,1299,,20,,,
,1343,,20,0.795198380947113,,
,1343,,20,,0.7884767055511475,
,1344,0.001,,,,
,1349,0.001,,,,
0.7922594547271729,1349,,21,,,
,1399,0.001,,,,
0.7659271359443665,1399,,21,,,
,1407,,21,0.7956727147102356,,
,1407,,21,,0.7887428998947144,
,1408,0.001,,,,
,1449,0.001,,,,
0.7621132731437683,1449,,22,,,
,1471,,22,0.7951618432998657,,
,1471,,22,,0.788638174533844,
,1472,0.001,,,,
,1499,0.001,,,,
0.7854372262954712,1499,,23,,,
,1535,,23,0.795008659362793,,
,1535,,23,,0.7881424427032471,
,1536,0.001,,,,
,1549,0.001,,,,
0.7634739279747009,1549,,24,,,
,1599,0.001,,,,
0.7925469875335693,1599,,24,,,
,1599,,24,0.7948800921440125,,
,1599,,24,,0.788146436214447,
,1600,0.001,,,,
,1649,0.001,,,,
0.7820553183555603,1649,,25,,,
,1663,,25,0.7948697805404663,,
,1663,,25,,0.788001298904419,
,1664,0.001,,,,
,1699,0.001,,,,
0.7720301151275635,1699,,26,,,
,1727,,26,0.7947578430175781,,
,1727,,26,,0.7880282998085022,
,1728,0.001,,,,
,1749,0.001,,,,
0.7681680917739868,1749,,27,,,
,1791,,27,0.7947506308555603,,
,1791,,27,,0.7879209518432617,
,1792,0.001,,,,
,1799,0.001,,,,
0.7908382415771484,1799,,28,,,
,1849,0.001,,,,
0.7989073991775513,1849,,28,,,
,1855,,28,0.795088529586792,,
,1855,,28,,0.7879452705383301,
,1856,0.001,,,,
,1899,0.001,,,,
0.7915146946907043,1899,,29,,,
,1919,,29,0.7946796417236328,,
,1919,,29,,0.7879703044891357,
,1920,0.001,,,,
,1949,0.001,,,,
0.7718895077705383,1949,,30,,,
,1983,,30,0.7946026921272278,,
,1983,,30,,0.7878497838973999,
,1984,0.001,,,,
,1999,0.001,,,,
0.7755600810050964,1999,,31,,,
,2047,,31,0.7946650981903076,,
,2047,,31,,0.7877561450004578,
,2048,0.001,,,,
,2049,0.001,,,,
0.7898586988449097,2049,,32,,,
,2099,0.001,,,,
0.7803701162338257,2099,,32,,,
,2111,,32,0.7946218848228455,,
,2111,,32,,0.7878884673118591,
,2112,0.001,,,,
,2149,0.001,,,,
0.8015686869621277,2149,,33,,,
,2175,,33,0.7945732474327087,,
,2175,,33,,0.7877548336982727,
,2176,0.001,,,,
,2199,0.001,,,,
0.7698303461074829,2199,,34,,,
,2239,,34,0.7956797480583191,,
,2239,,34,,0.7882516384124756,
,2240,0.001,,,,
,2249,0.001,,,,
0.7837095260620117,2249,,35,,,
,2299,0.001,,,,
0.7698209285736084,2299,,35,,,
,2303,,35,0.7945163249969482,,
,2303,,35,,0.787882387638092,
,2304,0.001,,,,
,2349,0.001,,,,
0.7811373472213745,2349,,36,,,
,2367,,36,0.7944954633712769,,
,2367,,36,,0.7876394987106323,
,2368,0.001,,,,
,2399,0.001,,,,
0.80668705701828,2399,,37,,,
,2431,,37,0.7944861650466919,,
,2431,,37,,0.7876527905464172,
,2432,0.001,,,,
,2449,0.001,,,,
0.8011918067932129,2449,,38,,,
,2495,,38,0.7944947481155396,,
,2495,,38,,0.7876906394958496,
,2496,0.001,,,,
,2499,0.001,,,,
0.7902239561080933,2499,,39,,,
,2549,0.001,,,,
0.7886335253715515,2549,,39,,,
,2559,,39,0.7947008609771729,,
,2559,,39,,0.7881275415420532,
,2560,0.001,,,,
,2599,0.001,,,,
0.7610246539115906,2599,,40,,,
,2623,,40,0.7948189973831177,,
,2623,,40,,0.7876717448234558,
,2624,0.001,,,,
,2649,0.001,,,,
0.7859748601913452,2649,,41,,,
,2687,,41,0.7944198846817017,,
,2687,,41,,0.787653386592865,
,2688,0.001,,,,
,2699,0.001,,,,
0.7738386988639832,2699,,42,,,
,2749,0.001,,,,
0.7706509232521057,2749,,42,,,
,2751,,42,0.7943577170372009,,
,2751,,42,,0.787544310092926,
,2752,0.001,,,,
,2799,0.001,,,,
0.8010240793228149,2799,,43,,,
