train_loss_step,epoch,step,lr-Adam,val_loss,train_loss_epoch,test_loss
,37,2431,,,0.053957585245370865,
,,2432,0.001,,,
,,2449,0.001,,,
0.050112154334783554,38,2449,,,,
,38,2495,,0.05386026203632355,,
,38,2495,,,0.0537407360970974,
,,2496,0.001,,,
,,2499,0.001,,,
0.055067963898181915,39,2499,,,,
,,2549,0.001,,,
0.05191398039460182,39,2549,,,,
,39,2559,,0.05429627001285553,,
,39,2559,,,0.052817437797784805,
,,2560,0.001,,,
,,2599,0.001,,,
0.051405251026153564,40,2599,,,,
,40,2623,,0.0537821464240551,,
,40,2623,,,0.05326211079955101,
,,2624,0.001,,,
,,2649,0.001,,,
0.051824867725372314,41,2649,,,,
,41,2687,,0.05306808650493622,,
,41,2687,,,0.052573565393686295,
,,2688,0.001,,,
,,2699,0.001,,,
0.050528399646282196,42,2699,,,,
,,2749,0.001,,,
0.04742387682199478,42,2749,,,,
,42,2751,,0.052423056215047836,,
,42,2751,,,0.052859172224998474,
,,2752,0.001,,,
,,2799,0.001,,,
0.05234704911708832,43,2799,,,,
,43,2815,,0.05378725007176399,,
,43,2815,,,0.05300232768058777,
,,2816,0.001,,,
,,2849,0.001,,,
0.056084275245666504,44,2849,,,,
,44,2879,,0.05458124727010727,,
,44,2879,,,0.05283429101109505,
,,2880,0.001,,,
,,2899,0.001,,,
0.05105059593915939,45,2899,,,,
,45,2943,,0.05221067741513252,,
,45,2943,,,0.051988385617733,
,,2944,0.001,,,
,,2949,0.001,,,
0.05100788548588753,46,2949,,,,
,,2999,0.001,,,
0.05504954233765602,46,2999,,,,
,46,3007,,0.05321956053376198,,
,46,3007,,,0.052196696400642395,
,,3008,0.001,,,
,,3049,0.001,,,
0.04653606563806534,47,3049,,,,
,47,3071,,0.052875153720378876,,
,47,3071,,,0.0523245632648468,
,,3072,0.001,,,
,,3099,0.001,,,
0.049280986189842224,48,3099,,,,
,48,3135,,0.05283872038125992,,
,48,3135,,,0.05270925164222717,
,,3136,0.001,,,
,,3149,0.001,,,
0.047673486173152924,49,3149,,,,
,,3199,0.001,,,
0.057446010410785675,49,3199,,,,
,49,3199,,0.051853831857442856,,
,49,3199,,,0.05227220430970192,
,,3200,0.001,,,
,,3249,0.001,,,
0.050379469990730286,50,3249,,,,
,50,3263,,0.052632857114076614,,
,50,3263,,,0.05191555246710777,
,,3264,0.001,,,
,,3299,0.001,,,
0.05055112764239311,51,3299,,,,
,51,3327,,0.051669277250766754,,
,51,3327,,,0.05265628919005394,
,,3328,0.001,,,
,,3349,0.001,,,
0.05289073288440704,52,3349,,,,
,52,3391,,0.05403457209467888,,
,52,3391,,,0.05152924731373787,
,,3392,0.001,,,
,,3399,0.001,,,
0.052645567804574966,53,3399,,,,
,,3449,0.001,,,
0.05061877891421318,53,3449,,,,
,53,3455,,0.05377747863531113,,
,53,3455,,,0.05160551145672798,
,,3456,0.001,,,
,,3499,0.001,,,
0.05246492847800255,54,3499,,,,
,54,3519,,0.05140191689133644,,
,54,3519,,,0.05195897817611694,
,,3520,0.001,,,
,,3549,0.001,,,
0.05541101098060608,55,3549,,,,
,55,3583,,0.052442699670791626,,
,55,3583,,,0.05146122723817825,
,,3584,0.001,,,
,,3599,0.001,,,
0.05375824496150017,56,3599,,,,
,56,3647,,0.05093001574277878,,
,56,3647,,,0.0511663556098938,
,,3648,0.001,,,
,,3649,0.001,,,
0.05083486810326576,57,3649,,,,
,,3699,0.001,,,
0.052659060806035995,57,3699,,,,
,57,3711,,0.05155520886182785,,
,57,3711,,,0.05123750492930412,
,,3712,0.001,,,
,,3749,0.001,,,
0.04938168451189995,58,3749,,,,
,58,3775,,0.05128192529082298,,
,58,3775,,,0.05235443636775017,
,,3776,0.001,,,
,,3799,0.001,,,
0.05206979811191559,59,3799,,,,
,59,3839,,0.05168619006872177,,
,59,3839,,,0.051256049424409866,
,,3840,0.001,,,
